split_family,split_name,control_rows,support_ok
sidecar_control_symbol,AAPL,1,False
sidecar_control_symbol,AMZN,1,False
sidecar_control_symbol,BBH,2,False
sidecar_control_symbol,CDN,1,False
sidecar_control_symbol,CHKP,1,False
sidecar_control_symbol,CSCO,2,False
sidecar_control_symbol,CSTR,1,False
sidecar_control_symbol,DELL,1,False
sidecar_control_symbol,EFA,2,False
sidecar_control_symbol,EK,4,False
sidecar_control_symbol,FRX,4,False
sidecar_control_symbol,GDT,1,False
sidecar_control_symbol,GNTX,1,False
sidecar_control_symbol,HD,10,False
sidecar_control_symbol,HHH,2,False
sidecar_control_symbol,IEF,2,False
sidecar_control_symbol,IWM,2,False
sidecar_control_symbol,LOW,2,False
sidecar_control_symbol,LQD,2,False
sidecar_control_symbol,MDY,2,False
sidecar_control_symbol,MRM,1,False
sidecar_control_symbol,MSFT,3,False
sidecar_control_symbol,OIH,2,False
sidecar_control_symbol,ORCL,2,False
sidecar_control_symbol,PMTC,2,False
sidecar_control_symbol,PPH,2,False
sidecar_control_symbol,RHAT,1,False
sidecar_control_symbol,RTH,1,False
sidecar_control_symbol,SHY,2,False
sidecar_control_symbol,SNPS,2,False
sidecar_control_symbol,TLT,2,False
sidecar_control_symbol,XLE,1,False
sidecar_control_symbol,XLF,2,False
sidecar_control_symbol,XLK,2,False
sidecar_control_symbol,ZVZZT,11,False
