requirement,evidence,status
Authoritative Board B file updated without disturbing concurrent work,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,pass
Profitability-factor training is based on accepted regime-identification roots,No accepted R3/R5/R6 MainRegimeV2 root exists; selected-data training is therefore not allowed.,blocked
Branch path main_regime -> sub_regime -> sub_sub_regime_or_profit_factor -> profit_factor is preserved downstream,"No post-unlock selected-data AutoQuant or downstream promotion rerun exists; branch path remains a contract, not verified output.",blocked
R6 owner/export rows with valid normal controls,exists=False file_count=0,blocked
R5 source-owned post-2026-01-30 MainRegimeV2 recency rows,exists=False file_count=0,blocked
R3 verifier-native Crisis-capable native-subhour MainRegimeV2 labels,exists=True notes=physical root is TSIE-derived/quarantined and Crisis-absent; non-promoting,blocked
"Explicit user-selected historical path, exactly one of HTF=1d, MTF=4h, LTF=1h",workflow-status still contains user_selected_historical_data_missing,blocked
Real AutoQuant operation,status=dependency_ready_data_ready data_ready=True; prior Tomac harness success remains runtime-only,partial_non_promoting
Real ict-engine filter / Pre-Bayes / BBN / CatBoost / execution-tree surfaces,"workflow_blocked=True path_ranking=  ""summary_line"": ""structural_path_ranking_target rows=1 history_rows=7 candidate_set_size=1 mature_rows=0 history_mature_rows=0 propensity_rows=1 calibrated_rows=0 execution_gate_rows=0 training_weight_rows=0""",partial_non_promoting
"Provider coverage for IBKR, TradingViewRemix, yfinance, Kraken",provider_summary=entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready,partial_non_promoting
Canonical merge and downstream promotion rerun after unlock,valid_required_root_unlock=false; no canonical merge or downstream promotion rerun permitted.,blocked
Completion and update_goal,"Required roots, selected history, selected-data training, and downstream promotion remain missing.",not_complete
