root_id,root_path,required_file,exists,size_bytes,sha256,csv_rows
r6_owner_export,/tmp/ict-engine-board-a-r6-owner-export-v1,direct_manipulation_positive_rows.csv,False,,,
r6_owner_export,/tmp/ict-engine-board-a-r6-owner-export-v1,direct_manipulation_matched_controls.csv,False,,,
r6_owner_export,/tmp/ict-engine-board-a-r6-owner-export-v1,direct_manipulation_provenance.json,False,,,
r5_recency_extension,/tmp/ict-engine-source-panel-recency-extension,stock_market_regimes_2026_extension.csv,False,,,
r5_recency_extension,/tmp/ict-engine-source-panel-recency-extension,source_panel_recency_provenance.json,False,,,
r3_native_subhour,/tmp/ict-engine-native-subhour-source-label-intake,native_subhour_source_label_rows.csv,True,2786719721,72406e48b000f91ed2b3c3e132651537339afb2a8ed2e3ce43b5007abf38f62f,5032903
r3_native_subhour,/tmp/ict-engine-native-subhour-source-label-intake,native_subhour_source_label_provenance.json,True,2400,60f2422260c404302dbb98dc641f13e50cdae8f09527a848e614a690b87fcc0f,
r6_direct_manipulation_intake,/tmp/ict-engine-direct-manipulation-row-intake,positive_spoofing_layering_rows.csv,True,58924,ef9f912b5b0a56f85b21c1355c64c2b443d60ebacbb70a0f195de89b223c9ac6,73
r6_direct_manipulation_intake,/tmp/ict-engine-direct-manipulation-row-intake,matched_negative_normal_activity_rows.csv,True,58890,d81b8253888d5d68e484679d221640e0f3bee5f4bf6b8e42e14f9d53b53f7e2d,73
r6_direct_manipulation_intake,/tmp/ict-engine-direct-manipulation-row-intake,provenance_manifest.json,True,1450,9d85856f9096203ee31a0abba7fe7701b11e3941c2063fa8c1186bd2ce59331b,
source_label_equivalence,/tmp/ict-engine-source-label-equivalence-v1,source_label_equivalence_rows.csv,False,,,
source_label_equivalence,/tmp/ict-engine-source-label-equivalence-v1,source_label_equivalence_provenance.json,False,,,
