check,status,evidence,decision
baseline_032145_auto_quant_status,missing_dependency,"exit=0 bootstrap_needed=true dependency_healthy=false data_ready=false","non_promoting"
auto_quant_bootstrap,succeeded,"exit=0 current_commit=34ba6b6ee6aa69813a50a72158d4c089d97afb96 dependency_healthy=true","dependency_only"
status_original_outer_state_after_bootstrap,still_missing_dependency,"outer state still targets unbootstrapped sibling path","diagnostic_cli_state_dir_recursion"
status_with_output_dir_override,dependency_ready_data_missing,"exit=0 dependency_healthy=true data_ready=false","prepare_required"
prepare_with_output_dir_override,failed_dns,"exit=1 api.binance.com DNS failure markets_not_loaded","data_not_ready"
post_prepare_status,dependency_ready_data_missing,"exit=0 dependency_healthy=true data_ready=false","non_promoting"
provider_yfinance,ready,"032145 provider-status yfinance live_runtime and market_data ready","usable_context_only"
provider_kraken_cli,ready,"032145 provider-status kraken_cli ready","usable_context_only"
provider_ibkr,unhealthy,"032145 provider-status ibkr dependencies missing with gateway reachable","not_source_unlock"
provider_tradingview_mcp,unhealthy,"032145 provider-status connectivity probe failed","not_source_unlock"
pre_bayes,empty,"latest_gate_status=null latest_policy_version=null","blocked"
workflow_status,fail_closed,"blocking_truth=insufficient_state actionable_artifacts=0","blocked"
r6_owner_export_root,absent,"/tmp/ict-engine-board-a-r6-owner-export-v1 absent","blocks_canonical_merge"
r3_native_subhour_root,absent,"/tmp/ict-engine-native-subhour-source-label-intake absent","blocks_full_objective"
r5_recency_extension_root,absent,"/tmp/ict-engine-source-panel-recency-extension absent","blocks_full_objective"
promotion,blocked,"accepted_rows_added=0 new_confidence_gate=false canonical_merge=false downstream_rerun=false update_goal=false","no_promotion"
