file,required_field
source_label_equivalence_rows.csv,package_id
source_label_equivalence_rows.csv,source_owner
source_label_equivalence_rows.csv,source_report_or_dataset
source_label_equivalence_rows.csv,source_pull_date
source_label_equivalence_rows.csv,market_family
source_label_equivalence_rows.csv,symbol
source_label_equivalence_rows.csv,source_symbol
source_label_equivalence_rows.csv,equivalence_policy
source_label_equivalence_rows.csv,event_species
source_label_equivalence_rows.csv,timestamp_or_date
source_label_equivalence_rows.csv,timeframe
source_label_equivalence_rows.csv,main_regime_v2_label
source_label_equivalence_rows.csv,direct_label
source_label_equivalence_rows.csv,matched_negative_group_id
source_label_equivalence_rows.csv,split_role
source_label_equivalence_rows.csv,source_row_id
source_label_equivalence_rows.csv,provenance_hash
source_label_equivalence_provenance.json,source_owner
source_label_equivalence_provenance.json,source_pull_date
source_label_equivalence_provenance.json,input_file_hashes
source_label_equivalence_provenance.json,owner_approval_or_source_label_policy
