package_id,provider,symbol,provider_symbol,timeframe,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,ote_level,data_path,data_rows,data_sha256,source_material,source_material_sha256,provider_requested,provider_data_acquired,aq_provider_invoked,local_cache_replay,new_provider_fetch,provider_authority_state
ote-0500-pullback-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0500,ote_retrace_0500_continuation_v1,0500,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0618-pullback-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0618,ote_retrace_0618_continuation_v1,0618,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0705-pullback-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0786-pullback-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0500-pullback-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0500,ote_retrace_0500_continuation_v1,0500,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0618-pullback-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0618,ote_retrace_0618_continuation_v1,0618,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0705-pullback-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0786-pullback-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0500-pullback-bybit-1h-v1,Bybit,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0500,ote_retrace_0500_continuation_v1,0500,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,1000,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-bybit-1h-v1.material.json,2b294bbea6ebaa2d81864fdc732304fd687e1d3744d69fca2fc3b09814d6cb2e,false,false,false,true,false,replay_from_184332_provider_preflight
ote-0618-pullback-bybit-1h-v1,Bybit,BTCUSDT,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0618,ote_retrace_0618_continuation_v1,0618,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,1000,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-bybit-1h-v1.material.json,2b294bbea6ebaa2d81864fdc732304fd687e1d3744d69fca2fc3b09814d6cb2e,false,false,false,true,false,replay_from_184332_provider_preflight
