provider,symbol,factor,side,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_path,signal_time,entry_time,exit_time,entry,exit,stop,zone_low,zone_high,exit_reason,gross_return,net_return,walk_forward_fold
Binance,BTCUSDT,order_block_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,order_block_pullback_v1,TrendTransition->HighVolatility->down_momentum->order_block_pullback_v1,2017-08-21 05:00:00+00:00,2017-08-21 07:00:00+00:00,2017-08-21 19:00:00+00:00,4043.63,4027.05,4110.181429,4047.75,4104.68,horizon,0.004100276237,0.003300276237,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-08-21 06:00:00+00:00,2017-08-21 07:00:00+00:00,2017-08-21 08:00:00+00:00,4043.63,4053.395714,4053.395714,4032.01,4047.75,stop,-0.002415086021,-0.003215086021,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-08-22 01:00:00+00:00,2017-08-22 09:00:00+00:00,2017-08-22 17:00:00+00:00,3904.56,3997.375714,3997.375714,3890.51,3987.5,stop,-0.02377110719,-0.02457110719,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-08-22 04:00:00+00:00,2017-08-22 06:00:00+00:00,2017-08-22 09:00:00+00:00,3803,3875.232286,3875.232286,3802.53,3862.39,stop,-0.01899350137,-0.01979350137,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-08-23 09:00:00+00:00,2017-08-23 20:00:00+00:00,2017-08-23 21:00:00+00:00,4118.4,4090.838857,4090.838857,4098.88,4100.15,stop,-0.006692196692,-0.007492196692,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-08-25 16:00:00+00:00,2017-08-25 17:00:00+00:00,2017-08-25 19:00:00+00:00,4402.32,4334.115786,4334.115786,4340,4375.29,stop,-0.01549278887,-0.01629278887,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-08-28 04:00:00+00:00,2017-08-28 06:00:00+00:00,2017-08-28 07:00:00+00:00,4221.04,4264.718,4264.718,4252.76,4258.78,stop,-0.01034768683,-0.01114768683,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-08-28 23:00:00+00:00,2017-08-29 03:00:00+00:00,2017-08-29 05:00:00+00:00,4376.99,4343.964429,4343.964429,4349.98,4350.7,stop,-0.007545270021,-0.008345270021,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-08-31 11:00:00+00:00,2017-08-31 12:00:00+00:00,2017-09-01 00:00:00+00:00,4673.87,4721.05,4609.811571,4613.6,4631.41,horizon,0.01009441854,0.009294418544,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-01 08:00:00+00:00,2017-09-02 07:00:00+00:00,2017-09-02 08:00:00+00:00,4697.71,4691.795071,4691.795071,4696.99,4708.09,stop,-0.001259108921,-0.002059108921,train
