factor,main_regime,sub_regime,sub_sub_regime_or_profit_factor,branch_path,trades,win_rate,mean_net_return,profit_factor,max_drawdown_sum_return,folds_present
fair_value_gap_pullback_v1,TrendExpansion,HighVolatility,down_momentum,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,447,0.375839,-0.000548528006,0.923067,-0.2804503567,"test,train,validation"
fair_value_gap_pullback_v1,TrendExpansion,HighVolatility,up_momentum,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,349,0.409742,-0.0001680977475,0.971380,-0.417513529,"test,train,validation"
fair_value_gap_pullback_v1,TrendExpansion,LowVolatility,down_momentum,TrendExpansion->LowVolatility->down_momentum->fair_value_gap_pullback_v1,164,0.329268,-0.0003777596572,0.804702,-0.07434573836,"test,train,validation"
fair_value_gap_pullback_v1,TrendExpansion,LowVolatility,up_momentum,TrendExpansion->LowVolatility->up_momentum->fair_value_gap_pullback_v1,431,0.368910,-0.0002688428305,0.828563,-0.1432712137,"test,train,validation"
fair_value_gap_pullback_v1,TrendExpansion,NormalVolatility,down_momentum,TrendExpansion->NormalVolatility->down_momentum->fair_value_gap_pullback_v1,581,0.358003,-0.0003207654961,0.902100,-0.2468149976,"test,train,validation"
fair_value_gap_pullback_v1,TrendExpansion,NormalVolatility,up_momentum,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,975,0.363077,-0.0004518500847,0.846256,-0.4729669738,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,HighVolatility,down_momentum,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,152,0.388158,0.0004529254227,1.083376,-0.1547883413,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,HighVolatility,up_momentum,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,119,0.378151,0.001004149126,1.209620,-0.1493838382,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,LowVolatility,down_momentum,TrendTransition->LowVolatility->down_momentum->fair_value_gap_pullback_v1,124,0.314516,-0.0005539890529,0.714717,-0.09491714561,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,LowVolatility,up_momentum,TrendTransition->LowVolatility->up_momentum->fair_value_gap_pullback_v1,135,0.311111,-0.001087835177,0.524755,-0.1572447183,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,NormalVolatility,down_momentum,TrendTransition->NormalVolatility->down_momentum->fair_value_gap_pullback_v1,292,0.352740,-0.0007398400053,0.777222,-0.2657222713,"test,train,validation"
fair_value_gap_pullback_v1,TrendTransition,NormalVolatility,up_momentum,TrendTransition->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,374,0.355615,-0.0001419224847,0.950775,-0.177608743,"test,train,validation"
order_block_pullback_v1,TrendExpansion,HighVolatility,down_momentum,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,124,0.346774,-0.001857367197,0.796916,-0.3286273148,"test,train,validation"
order_block_pullback_v1,TrendExpansion,HighVolatility,up_momentum,TrendExpansion->HighVolatility->up_momentum->order_block_pullback_v1,85,0.423529,0.00126682062,1.145204,-0.151118682,"test,train,validation"
order_block_pullback_v1,TrendExpansion,LowVolatility,down_momentum,TrendExpansion->LowVolatility->down_momentum->order_block_pullback_v1,53,0.283019,-0.001469709547,0.558705,-0.0939700101,"test,train,validation"
order_block_pullback_v1,TrendExpansion,LowVolatility,up_momentum,TrendExpansion->LowVolatility->up_momentum->order_block_pullback_v1,155,0.348387,-0.000333126559,0.847912,-0.09412849069,"test,train,validation"
order_block_pullback_v1,TrendExpansion,NormalVolatility,down_momentum,TrendExpansion->NormalVolatility->down_momentum->order_block_pullback_v1,179,0.318436,-0.001272647711,0.735746,-0.2605087765,"test,train,validation"
order_block_pullback_v1,TrendExpansion,NormalVolatility,up_momentum,TrendExpansion->NormalVolatility->up_momentum->order_block_pullback_v1,253,0.359684,-0.000697548031,0.814160,-0.2530709847,"test,train,validation"
order_block_pullback_v1,TrendTransition,HighVolatility,down_momentum,TrendTransition->HighVolatility->down_momentum->order_block_pullback_v1,26,0.384615,-0.002572198312,0.711956,-0.08256828373,"test,train,validation"
order_block_pullback_v1,TrendTransition,HighVolatility,up_momentum,TrendTransition->HighVolatility->up_momentum->order_block_pullback_v1,28,0.500000,-0.0005611449555,0.938828,-0.1031257521,"test,train,validation"
order_block_pullback_v1,TrendTransition,LowVolatility,down_momentum,TrendTransition->LowVolatility->down_momentum->order_block_pullback_v1,42,0.428571,-0.0002471557113,0.899351,-0.04899156381,"test,train,validation"
order_block_pullback_v1,TrendTransition,LowVolatility,up_momentum,TrendTransition->LowVolatility->up_momentum->order_block_pullback_v1,33,0.454545,0.001668700079,2.129562,-0.01567767432,"test,train,validation"
order_block_pullback_v1,TrendTransition,NormalVolatility,down_momentum,TrendTransition->NormalVolatility->down_momentum->order_block_pullback_v1,75,0.266667,-0.002290401198,0.499890,-0.1938488815,"test,train,validation"
order_block_pullback_v1,TrendTransition,NormalVolatility,up_momentum,TrendTransition->NormalVolatility->up_momentum->order_block_pullback_v1,80,0.387500,-0.0001092460013,0.970513,-0.104848511,"test,train,validation"
