label,rule_id,rule,accepted_rule_confidence_95,blockers,min_split_support,min_split_wilson95_lcb,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,rule_kind
Bear,vix_ge_53.68000031,vix >= 53.68000031,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,0,0.0,1504,979,0.6509308511,0.6264833814,252,163,0.6468253968,0.5860126169,560,267,0.4767857143,0.4357175888,0,0,0.0,0.0,single_atom
Bear,vix_ge_44.52999878,vix >= 44.52999878,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,105,0.4014766826,3008,1800,0.5984042553,0.580770804,480,326,0.6791666667,0.6361264506,805,373,0.4633540373,0.4291626049,105,52,0.4952380952,0.4014766826,single_atom
Bear,vix_ge_35.54000092,vix >= 35.54000092,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,210,0.3560237946,7468,3804,0.5093733262,0.4980333386,1168,713,0.6104452055,0.5821604262,1820,688,0.378021978,0.3560237946,210,102,0.4857142857,0.4189827637,single_atom
Bear,returns_le_-0.06284239557,returns <= -0.06284239557,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,52,0.3641396618,1490,744,0.4993288591,0.4739754777,52,33,0.6346153846,0.4987167813,446,198,0.4439461883,0.3985087079,177,77,0.4350282486,0.3641396618,single_atom
Bear,returns_le_-0.04801132328,returns <= -0.04801132328,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,128,0.3551758708,2980,1435,0.4815436242,0.4636392744,128,84,0.65625,0.5704962778,927,443,0.4778856526,0.4458878702,353,143,0.4050991501,0.3551758708,single_atom
Bear,returns_le_-0.03190357354,returns <= -0.03190357354,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,463,0.3562542865,7449,3433,0.4608672305,0.4495706015,463,279,0.6025917927,0.5573487337,2375,1142,0.4808421053,0.4607952095,949,367,0.3867228662,0.3562542865,single_atom
Bear,vix_ge_29.98999977,vix >= 29.98999977,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,455,0.4249084736,14935,6657,0.4457315032,0.4377749307,2496,1477,0.5917467949,0.5723378268,4900,2184,0.4457142857,0.4318452125,455,214,0.4703296703,0.4249084736,single_atom
Bear,returns_le_-0.02126173967,returns <= -0.02126173967,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1329,0.354822544,14898,6228,0.4180426903,0.4101445403,1329,736,0.5537998495,0.5269573172,4764,2127,0.4464735516,0.4324057273,2160,810,0.375,0.354822544,single_atom
Bear,vix_ge_26.60000038,vix >= 26.60000038,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,700,0.4069089318,22354,9240,0.4133488414,0.4069089318,3924,2174,0.5540265036,0.5384285688,8855,3736,0.4219085263,0.4116582151,700,345,0.4928571429,0.4559612558,single_atom
Bear,vix_ge_24.78000069,vix >= 24.78000069,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1050,0.389915519,29814,11790,0.3954518012,0.389915519,5224,2759,0.5281393568,0.5145864758,11620,4682,0.4029259897,0.3940413989,1050,514,0.4895238095,0.4593808702,single_atom
Bear,returns_le_-0.01552237502,returns <= -0.01552237502,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,2430,0.3441598392,22347,8639,0.386584329,0.380219677,2430,1150,0.4732510288,0.4534574096,7056,2941,0.41680839,0.4053528625,3501,1260,0.3598971722,0.3441598392,single_atom
Bear,volatility_ge_1.158617212,volatility >= 1.158617212,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,0,0.0,1490,602,0.4040268456,0.3793887575,0,0,0.0,0.0,375,164,0.4373333333,0.3880129233,8,1,0.125,0.0224174915,single_atom
Bear,vix_ge_23.25,vix >= 23.25,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1680,0.3697791012,37253,13958,0.3746812337,0.3697791012,6516,3199,0.4909453653,0.4788160183,14035,5307,0.3781261133,0.3701379596,1680,757,0.4505952381,0.4269427259,single_atom
Bear,returns_le_-0.0116448263,returns <= -0.0116448263,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,3567,0.3282031901,29796,10738,0.3603839442,0.3549508202,3567,1483,0.4157555369,0.3996807844,9310,3660,0.3931256713,0.3832499483,4934,1684,0.341305229,0.3282031901,single_atom
Bear,vix_ge_21.82999992,vix >= 21.82999992,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,2485,0.3434219694,44711,15944,0.3566012838,0.3521738844,7920,3534,0.4462121212,0.435292994,17255,6048,0.3505070994,0.3434219694,2485,999,0.4020120724,0.382900106,single_atom
Bear,volatility_ge_0.9564397693,volatility >= 0.9564397693,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,33,0.3343217584,2980,1084,0.3637583893,0.346671429,33,27,0.8181818182,0.6561176837,707,294,0.4158415842,0.38006164,122,51,0.4180327869,0.3343217584,single_atom
Bear,regime_confidence_le_0.333,regime_confidence <= 0.333,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,3516,0.3030682927,28328,9802,0.346018074,0.3404997649,3516,1119,0.3182593857,0.3030682927,7493,2807,0.3746163086,0.3637237747,4841,1853,0.3827721545,0.3691780103,single_atom
