label,rule_id,rule,accepted_rule_confidence_95,blockers,min_split_support,min_split_wilson95_lcb,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,rule_kind
Bear,vix_ge_29.98999977__and__regime_confidence_le_0.385,vix >= 29.98999977 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,134,0.566325058,6059,3763,0.6210595808,0.6087713305,1086,662,0.6095764273,0.5802242863,1448,857,0.5918508287,0.566325058,134,102,0.7611940299,0.6823684881,two_atom_conjunction
Bear,vix_ge_44.52999878__and__regime_confidence_le_0.333,vix >= 44.52999878 AND regime_confidence <= 0.333,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,5,0.5655175352,212,139,0.6556603774,0.5894405269,25,25,1.0,0.8668077491,130,101,0.7769230769,0.6979992955,5,5,1.0,0.5655175352,two_atom_conjunction
Bear,returns_le_-0.06284239557__and__regime_confidence_le_0.385,returns <= -0.06284239557 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,14,0.5552053228,523,369,0.7055449331,0.665096719,14,13,0.9285714286,0.6853129558,121,83,0.6859504132,0.598610955,41,29,0.7073170732,0.5552053228,two_atom_conjunction
Bear,regime_confidence_le_0.385__and__volatility_ge_0.7166634134,regime_confidence <= 0.385 AND volatility >= 0.7166634134,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,140,0.5509697091,3019,1794,0.5942365022,0.5766115598,140,124,0.8857142857,0.8224092536,681,403,0.5917767988,0.5544471221,212,131,0.6179245283,0.5509697091,two_atom_conjunction
Bear,vix_ge_35.54000092__and__regime_confidence_le_0.333,vix >= 35.54000092 AND regime_confidence <= 0.333,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,14,0.5395225117,716,452,0.6312849162,0.5953331335,187,129,0.6898395722,0.6202806625,274,164,0.598540146,0.5395225117,14,12,0.8571428571,0.600586205,two_atom_conjunction
Bear,volatility_ge_0.9564397693__and__regime_confidence_le_0.385,volatility >= 0.9564397693 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,26,0.5296837786,1235,821,0.6647773279,0.6379741717,26,25,0.9615384615,0.811072211,310,215,0.6935483871,0.640119398,51,34,0.6666666667,0.5296837786,two_atom_conjunction
Bear,volatility_ge_0.9564397693__and__regime_confidence_le_0.4,volatility >= 0.9564397693 AND regime_confidence <= 0.4,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,26,0.5296837786,1265,821,0.6490118577,0.6222955007,26,25,0.9615384615,0.811072211,337,215,0.6379821958,0.585383291,51,34,0.6666666667,0.5296837786,two_atom_conjunction
Bear,vix_ge_29.98999977__and__regime_confidence_le_0.333,vix >= 29.98999977 AND regime_confidence <= 0.333,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,39,0.5237776791,2252,1226,0.5444049734,0.5237776791,582,371,0.6374570447,0.5976171804,679,389,0.5729013255,0.5353873777,39,31,0.7948717949,0.6446603199,two_atom_conjunction
Bear,returns_le_-0.06284239557__and__regime_confidence_le_0.4,returns <= -0.06284239557 AND regime_confidence <= 0.4,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,14,0.5131119429,539,370,0.6864564007,0.6460874613,14,13,0.9285714286,0.6853129558,137,87,0.6350364964,0.5517608248,49,32,0.6530612245,0.5131119429,two_atom_conjunction
Bear,vix_ge_35.54000092__and__regime_confidence_le_0.385,vix >= 35.54000092 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,37,0.5083893476,3045,2265,0.7438423645,0.7280376834,504,380,0.753968254,0.714538941,689,376,0.5457184325,0.5083893476,37,26,0.7027027027,0.5421686409,two_atom_conjunction
Bear,vix_ge_26.60000038__and__regime_confidence_le_0.385,vix >= 26.60000038 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,188,0.5064986351,8784,4910,0.5589708561,0.5485641411,1595,847,0.5310344828,0.5064986351,2534,1491,0.5883977901,0.5691169813,188,144,0.7659574468,0.7004818956,two_atom_conjunction
Bear,volatility_ge_0.7166634134__and__regime_confidence_le_0.4,volatility >= 0.7166634134 AND regime_confidence <= 0.4,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,140,0.5036365808,3082,1795,0.5824140169,0.5649110838,140,124,0.8857142857,0.8224092536,747,403,0.5394912985,0.5036365808,221,131,0.592760181,0.5269351795,two_atom_conjunction
Bear,returns_le_-0.03190357354__and__vix_ge_24.78000069,returns <= -0.03190357354 AND vix >= 24.78000069,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,188,0.493270477,4049,2204,0.5443319338,0.52895695,406,255,0.6280788177,0.580070818,1441,748,0.5190839695,0.493270477,188,108,0.5744680851,0.5029968364,two_atom_conjunction
Bear,returns_le_-0.02126173967__and__vix_ge_24.78000069,returns <= -0.02126173967 AND vix >= 24.78000069,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,288,0.4883699958,6729,3460,0.514192302,0.5022458635,919,594,0.6463547334,0.6148931347,2450,1245,0.5081632653,0.4883699958,288,162,0.5625,0.5047566204,two_atom_conjunction
Bear,vix_ge_29.98999977__and__regime_confidence_le_0.4,vix >= 29.98999977 AND regime_confidence <= 0.4,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,174,0.4882946845,6431,3819,0.5938423262,0.5817867035,1109,670,0.604147881,0.5750538751,1757,899,0.5116676153,0.4882946845,174,109,0.6264367816,0.55255609,two_atom_conjunction
Bear,vix_ge_26.60000038__and__regime_confidence_le_0.4,vix >= 26.60000038 AND regime_confidence <= 0.4,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,249,0.4882084203,9470,5011,0.5291446674,0.5190816873,1646,860,0.5224787363,0.4983240868,3098,1567,0.5058102001,0.4882084203,249,154,0.6184738956,0.5567716832,two_atom_conjunction
Bear,vix_ge_24.78000069__and__regime_confidence_le_0.385,vix >= 24.78000069 AND regime_confidence <= 0.385,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,303,0.4860865634,11605,6023,0.5190004308,0.5099052721,1994,1013,0.5080240722,0.4860865634,3404,1917,0.5631609871,0.5464369092,303,207,0.6831683168,0.6287688696,two_atom_conjunction
