protocol_version,symbol,generated_at,candidate_set_id,candidate_set_size,rank,path_id,scenario_id,path_label,direction,raw_path_score,calibrated_path_prob,path_prob_lower_bound,execution_gate_status,execution_gate_min_path_prob,execution_gate_reason,pending_reward_state,maturity_mask,maturity_weight,calibrated_label,propensity_estimate,ips_weight,training_weight,regime_calibration_bucket,behavior_policy_probability,execution_propensity,target_policy_probability_confidence,target_policy_probability_lower_bound,target_policy_reward_prior,target_policy_reward_lower_bound,experience_prior,current_posterior,structural_baseline_score,score_model_family,score_source_kind,score_model_artifact_uri,score_generator
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:838d3a5e1604c214,3,1,path:scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:range_mean_reversion:primary,scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:range_mean_reversion,range_mean_reversion,Observe,,,,,,,unobserved,false,0.000000,,0.197267,5.000000,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.375178,0.525795,,,,,0.487427,0.399319,0.425751,,,,
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:838d3a5e1604c214,3,2,path:scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:transition_confirmation:primary,scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:transition_confirmation,transition_confirmation,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.312411,,,,,,0.250000,0.399319,0.354523,,,,
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:838d3a5e1604c214,3,3,path:scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:trend_follow_through:primary,scenario:B2R_NQ_COST_CRISIS_REPAIR_032157:belief_regime_node:range:trend_follow_through,trend_follow_through,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.312411,,,,,,0.250000,0.399319,0.354523,,,,
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,1,Bear -> BearMarketDrawdown -> NQHighVixOversoldRebound -> NQRootAdaptiveCostCrisisRepairV3:bear_oversold_high_vix_rebound_h72,regime-bundle-branch:32eb3ca273869b40,Bear -> BearMarketDrawdown -> NQHighVixOversoldRebound -> NQRootAdaptiveCostCrisisRepairV3:bear_oversold_high_vix_rebound_h72,bear,0.949148,,,,,,unobserved,false,0.000000,,0.205115,4.875310,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.205115,1.000000,,,,,0.900000,0.900000,0.900000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,2,Sideways -> RangeConsolidation -> NQCalmVixZReversion -> NQRootAdaptiveCostCrisisRepairV3:sideways_calm_vix_z_revert_h72,regime-bundle-branch:1ca80daac0443094,Sideways -> RangeConsolidation -> NQCalmVixZReversion -> NQRootAdaptiveCostCrisisRepairV3:sideways_calm_vix_z_revert_h72,bull,0.949148,,,,,,unobserved,false,0.000000,,0.205115,4.875310,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.205115,1.000000,,,,,0.900000,0.900000,0.900000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,3,Crisis -> ExtremeStress -> NQFlushRebound -> NQRootAdaptiveCostCrisisRepairV3:crisis_flush_rebound_h72,regime-bundle-branch:009464feefba4f5a,Crisis -> ExtremeStress -> NQFlushRebound -> NQRootAdaptiveCostCrisisRepairV3:crisis_flush_rebound_h72,bull,0.949148,,,,,,unobserved,false,0.000000,,0.205115,4.875310,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.205115,1.000000,,,,,0.900000,0.900000,0.900000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,4,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl060_h72,regime-bundle-branch:ae20ce58f0408981,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl060_h72,Observe,0.949148,,,,,,unobserved,false,0.000000,,0.205115,4.875310,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.205115,1.000000,,,,,0.900000,0.900000,0.900000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,5,Bull -> TrendExpansion -> NQSourceRootCarry -> NQRootAdaptiveCostCrisisRepairV3:bull_source_root_carry_h72,regime-bundle-branch:f9a9b2f93b557485,Bull -> TrendExpansion -> NQSourceRootCarry -> NQRootAdaptiveCostCrisisRepairV3:bull_source_root_carry_h72,bull,0.093776,,,,,,unobserved,false,0.000000,,0.106058,5.000000,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.179539,0.590720,,,,,0.525931,0.900000,0.787779,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,1,Bull -> TrendExpansion -> NQSourceRootCarry -> NQRootAdaptiveCostCrisisRepairV3:bull_source_root_carry_h72,regime-bundle-branch:f9a9b2f93b557485,Bull -> TrendExpansion -> NQSourceRootCarry -> NQRootAdaptiveCostCrisisRepairV3:bull_source_root_carry_h72,bull,0.093776,,,,,,unobserved,false,0.000000,,0.106058,5.000000,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.179539,0.590720,,,,,0.525931,0.900000,0.787779,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_NQ_COST_CRISIS_REPAIR_032157,2026-05-11T19:47:36Z,structural-candidates:B2R_NQ_COST_CRISIS_REPAIR_032157:fa87f88e4639b05f,5,2,Bear -> BearMarketDrawdown -> NQHighVixOversoldRebound -> NQRootAdaptiveCostCrisisRepairV3:bear_oversold_high_vix_rebound_h72,regime-bundle-branch:32eb3ca273869b40,Bear -> BearMarketDrawdown -> NQHighVixOversoldRebound -> NQRootAdaptiveCostCrisisRepairV3:bear_oversold_high_vix_rebound_h72,bear,0.949148,,,,,,unobserved,false,0.000000,,0.205115,4.875310,,B2R_NQ_COST_CRISIS_REPAIR_032157:range,0.205115,1.000000,,,,,0.900000,0.900000,0.900000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/closure_reuse_cleanwire_bundle_catboost_20260512T034711+0800/catboost/path_ranker_model/catboost_model.cbm,pandas_path_ranker_trainer.py
