label_window_id,provider,instrument,timeframe,root,source_type,scope_tier,source_start_date,source_end_date,bar_overlap_count,overlap_first_date,overlap_last_date,overlap_status
source-window-crosswalk-v1-0001-bull-2002-10-09-2007-10-09,yfinance,^GSPC,1m,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0001-bull-2009-03-09-2020-02-19,yfinance,^GSPC,1m,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0001-bull-2020-03-23-2022-01-03,yfinance,^GSPC,1m,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0001-bull-2022-10-12-open,yfinance,^GSPC,1m,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,1950,2026-05-04,2026-05-08,overlap_ready
source-window-crosswalk-v1-0002-bear-2000-03-24-2002-10-09,yfinance,^GSPC,1m,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0002-bear-2007-10-09-2009-03-09,yfinance,^GSPC,1m,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0002-bear-2020-02-19-2020-03-23,yfinance,^GSPC,1m,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0002-bear-2022-01-03-2022-10-12,yfinance,^GSPC,1m,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0003-crisis-2001-03-2001-11,yfinance,^GSPC,1m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0003-crisis-2007-12-2009-06,yfinance,^GSPC,1m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0003-crisis-2020-02-2020-04,yfinance,^GSPC,1m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0004-bull-2002-10-09-2007-10-09,yfinance,^GSPC,5m,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0004-bull-2009-03-09-2020-02-19,yfinance,^GSPC,5m,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0004-bull-2020-03-23-2022-01-03,yfinance,^GSPC,5m,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0004-bull-2022-10-12-open,yfinance,^GSPC,5m,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,3198,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0005-bear-2000-03-24-2002-10-09,yfinance,^GSPC,5m,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0005-bear-2007-10-09-2009-03-09,yfinance,^GSPC,5m,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0005-bear-2020-02-19-2020-03-23,yfinance,^GSPC,5m,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0005-bear-2022-01-03-2022-10-12,yfinance,^GSPC,5m,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0006-crisis-2001-03-2001-11,yfinance,^GSPC,5m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0006-crisis-2007-12-2009-06,yfinance,^GSPC,5m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0006-crisis-2020-02-2020-04,yfinance,^GSPC,5m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0007-bull-2002-10-09-2007-10-09,yfinance,^GSPC,15m,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
