schema_version,run_id,recipe_id,variant_id,parent_regime_root,regime_profit_branch_path,open_time,close_time,hold_hours,direction,pnl,gross_reference,realized_outcome,entry_btc_close,crypto_breadth,equity_breadth,cross_breadth,btc_vol24,btc_dd48,btc_qqq_corr72,btc_qqq_corr_delta,btc_eth_spread_z,shock_absorption,gld_relative_24,year,row_index
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,equity_lead_crypto_catchup_h12,Bull,Bull -> CrossAssetRecovery -> EquityLeadCryptoCatchup -> CorrelationShockAbsorptionV1:equity_lead_crypto_catchup_h12,2025-09-11T15:00:00Z,2025-09-12T03:00:00Z,12,long_btc,0.0030368951354221366,0.004236895135422136,win,114180.31,0.2,1.0,0.5,0.006240813559682594,0.003906285440705259,0.1251061370944253,-0.13935907413524168,0.5098273165509081,0.020237984807858433,-0.012622419467881896,2025,296
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-14T13:00:00Z,2025-07-14T19:00:00Z,6,range_fade,0.013352795055551404,0.014552795055551404,win,121710.64,1.0,-1.0,0.25,0.01142972510021072,-0.0,0.22405546945428018,-0.19226630963918528,-1.0102860515542902,0.09492214652884656,-0.10192768216244508,2025,0
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-15T13:00:00Z,2025-07-15T19:00:00Z,6,range_fade,-0.01535942482957433,-0.01415942482957433,loss,118088.13,-0.6,1.0,0.0,0.012524776828398686,0.029763297604876615,0.16718888903470852,-0.24527894686063972,-1.2365741408900006,0.0017645721315620033,-0.07052355351533146,2025,7
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-15T15:00:00Z,2025-07-15T21:00:00Z,6,range_fade,0.021700053723886815,0.022900053723886815,win,116391.43,-0.6,1.0,0.0,0.012689624990595783,0.0437037386378053,0.16944452791356643,-0.24173441954358263,-1.0773107163872748,-0.017222720387912394,-0.037703635073934594,2025,9
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-15T17:00:00Z,2025-07-15T23:00:00Z,6,range_fade,0.01514890616657203,0.01634890616657203,win,117372.99,0.2,0.3333333333333333,0.25,0.012531268538427556,0.035639036981483296,0.1460109277330887,-0.26377600885037816,-1.1018993086238367,-0.01570296098971946,-0.05080249299553663,2025,11
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-15T18:00:00Z,2025-07-16T00:00:00Z,6,range_fade,0.018966287481403034,0.020166287481403034,win,116719.55,-0.2,0.3333333333333333,0.0,0.012633643297514216,0.04100783629105886,0.16222812415351734,-0.24689699628238632,-1.0713237564494773,-0.04755158536896764,-0.04459778603355691,2025,12
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-15T19:00:00Z,2025-07-16T01:00:00Z,6,range_fade,0.025395383266244888,0.026595383266244887,win,116416.07,-0.6,-1.0,-0.75,0.012514846259296615,0.04350129125933433,0.15468536198433322,-0.25359187179660037,-0.8569631494270935,-0.04104377272270254,-0.02864325192538697,2025,13
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-16T13:00:00Z,2025-07-16T19:00:00Z,6,range_fade,-0.005666301224405944,-0.004466301224405944,loss,118700.01,1.0,-1.0,0.25,0.012958328473082079,0.02473596392229971,0.11992305260182036,-0.28735330924341207,-1.5768567823756594,-0.009729514141620266,-0.04068895034878062,2025,14
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-16T14:00:00Z,2025-07-16T20:00:00Z,6,range_fade,0.005307902110589159,0.006507902110589159,win,119056.8,1.0,-1.0,0.25,0.01292381350278832,0.021804502876658916,0.11624324238146465,-0.2899058945095589,-1.986260574575898,-0.00737350534038006,-0.044500179025141806,2025,15
board-b-b2r-correlation-shock-absorption/v1,20260512T024509+0800-codex-board-b-b2r-correlation-shock-panel-v1,CorrelationShockAbsorptionV1,decorrelated_range_fade_h6,Sideways,Sideways -> CorrelationRange -> DecorrelatedRangeFade -> CorrelationShockAbsorptionV1:decorrelated_range_fade_h6,2025-07-16T15:00:00Z,2025-07-16T21:00:00Z,6,range_fade,0.001527385089108081,0.002727385089108081,win,119095.76,1.0,-1.0,0.25,0.012912347984995827,0.02148439939186919,0.11617517133189724,-0.288851146546599,-1.837658402460497,-0.004063603213169675,-0.045520251740749806,2025,16
