id,requirement,status,artifact,evidence,gap
R0,Use the named Board A markdown as the execution contract.,pass_checked,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,board_sha256_before_audit=a54f7176a885bfbc688c348e34822b6e251b1cfff63a7a5b71f72a6afa904977,
R1,Every active regime has calibrated >=95% confidence.,scoped_pass_not_full,docs/experiments/actionable-regime-confidence/runs/20260511T192655-codex-current-goal-completion-audit-v22-after-intake-and-subhour-readbacks/completion-audit/current_goal_completion_audit_v22_after_intake_and_subhour_readbacks.json,v22_gate=current_goal_completion_audit_v22=intake_and_subhour_readbacks_confirm_full_objective_blocked; scoped_active_lane_95_present=true,"Scoped active-lane >=95% evidence exists, but full transfer validation is still incomplete."
R2,Other-cycle/timeframe validation has suitable confidence.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T185126-codex-timeframe-cycle-coverage-readback-v1/timeframe-cycle-readback/timeframe_cycle_coverage_readback_v1.json,strict_1h_fixed=41/156; future_protocol=45/156; native_subhour=0/4,"Fixed strict 1h remains 41/156, future protocol remains 45/156, and native sub-hour remains 0/4."
R3,Strict 1h next-source intake has source-owned rows and provenance.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192432-codex-strict-1h-source-intake-verifier-readback-v1/source-intake-verifier-readback/strict_1h_source_intake_verifier_readback_v1.json,status=blocked; reason=missing_required_files; missing_files=2; live_files=0,The source-label equivalence intake files are absent.
R4,Existing source panel can supply the strict 1h contract gaps without duplicate evidence.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192900-codex-strict-1h-contract-panel-exhaustion-v1/strict-1h-contract-panel-exhaustion/strict_1h_contract_panel_exhaustion_v1.json,targets_materializable=0; extra_rows=0; intake_files_created=False,The current source panel has zero extra rows beyond already-counted strict-gate support.
R5,XOM/Sideways has recency-tail repair rows for the next strict 1h gap.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192218-codex-stock-regime-kaggle-live-recency-check-v1/kaggle-live-recency/stock_regime_kaggle_live_recency_check_v1.json,gate=stock_regime_kaggle_live_recency_check_v1=upstream_current_file_no_xom_sideways_tail_repair; xom_sideways_2025=68; xom_sideways_tail=0; xom_sideways_after_2026_01_30=0,The live source file has no XOM/Sideways Jan-2026 tail or post-2026-01-30 rows.
R6,Native sub-hour source labels exist for cross-timeframe validation.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192750-codex-native-subhour-external-source-screen-v1/native-subhour-external-source-screen/native_subhour_external_source_screen_v1.json,quarantine_gate=native_subhour_projection_quarantine_v1=projected_subhour_rows_not_native_source_labels; eligible_rows=0; external_gate=native_subhour_external_source_screen_v1=no_ready_native_subhour_source_labels; ready_native_rows=0,Projection rows were quarantined and targeted external search found zero ready native sub-hour source labels.
R7,Other-market/source-label equivalence has suitable confidence.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T191623-codex-external-source-label-second-screen-v1/external-source-label-second-screen/external_source_label_second_screen_v1.json,gate=external_source_label_second_screen_v1=no_promotable_source_label_equivalence; accepted_rows_added=0; full_equivalence=False,No owner-approved MainRegimeV2 equivalence rows were promoted.
R8,Direct Manipulation has full species coverage with real positives and matched controls.,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T193301-codex-direct-manipulation-intake-verifier-readback-v1/direct-manipulation-intake-verifier-readback/direct_manipulation_intake_verifier_readback_v1.json,species_gate=direct_missing_species_source_screen_v2=no_ready_positive_control_source; ready_sources=0; intake_decision=direct_manipulation_intake_verifier_readback_v1=blocked_missing_direct_intake_files; direct_missing_files=3,"Direct species source screen found zero ready sources, and direct intake files are absent."
R9,Do not promote proxy/generated labels or duplicated rows.,pass_guardrail,docs/experiments/actionable-regime-confidence/runs/20260511T192900-codex-strict-1h-contract-panel-exhaustion-v1/strict-1h-contract-panel-exhaustion/strict_1h_contract_panel_exhaustion_v1.json,panel_exhaustion blocks duplicate rows; native subhour quarantine blocks projected rows; HMM-generated labels remain rejected,
R10,Do not mark the active goal complete until every requirement is covered.,pass_guardrail,docs/experiments/actionable-regime-confidence/runs/20260511T192655-codex-current-goal-completion-audit-v22-after-intake-and-subhour-readbacks/completion-audit/current_goal_completion_audit_v22_after_intake_and_subhour_readbacks.json,v22_update_goal=False; strict_intake_update_goal=False; direct_intake_update_goal=False,
