feature,importance
cpi,208.6143900221
close,29.3787780716
vix,20.5906729867
unemployment_rate,6.0874855976
10y_treasury,3.4909117843
2y_treasury,2.0587946612
fed_funds_rate,1.7189282936
source_owner_source-owned-stock-market-regimes-2000-2026,0.990071484
market_family_us_single_stock,0.990071484
volatility,0.337548002
symbol_AMD,0.0411619215
symbol_NVDA,0.0353382844
symbol_MS,0.0343064583
symbol_AMZN,0.0333066865
symbol_CSCO,0.0330969727
symbol_INTC,0.0325981477
symbol_MSFT,0.031561332
symbol_GS,0.0315312629
symbol_BAC,0.0309977661
symbol_GE,0.0309122185
symbol_JPM,0.0306300791
symbol_HD,0.0305818267
symbol_AAPL,0.0305272031
symbol_PFE,0.0301081883
symbol_VZ,0.0298384157
