label,split_role,high_confidence_support,correct_high_confidence,precision,wilson95_lcb,coverage_rows
Bear,calibration,146701,32901,0.2242724998,0.2221453436,148976
Bear,heldout_market,0,0,0.0,0.0,26236
Bear,heldout_time,42687,10672,0.2500058566,0.2459207223,45384
Bear,test,25445,6168,0.2424051877,0.237178865,27844
Bull,calibration,132,107,0.8106060606,0.7353494963,148976
Bull,heldout_market,22815,11444,0.5015998247,0.4951121792,26236
Bull,heldout_time,1022,668,0.6536203523,0.6239223888,45384
Bull,test,1309,923,0.705118411,0.6798450294,27844
Crisis,calibration,539,368,0.6827458256,0.6422800847,148976
Crisis,heldout_market,0,0,0.0,0.0,26236
Crisis,heldout_time,541,299,0.5526802218,0.5105568974,45384
Crisis,test,550,291,0.5290909091,0.4873177805,27844
Sideways,calibration,713,501,0.7026647966,0.6681005164,148976
Sideways,heldout_market,2920,868,0.297260274,0.2809577673,26236
Sideways,heldout_time,720,423,0.5875,0.5511699857,45384
Sideways,test,264,200,0.7575757576,0.7024259597,27844
