group_id,Bear,Bull,Sideways,ABSTAIN_TRAP,non_abstain_total,has_bear_bull_sideways
IDX_DLY_BIPI_60,3106,2940,8905,6499,14951,True
IDX_DLY_ENRG_60,3906,4124,6677,6835,14707,True
IDX_DLY_BUMI_60,4570,3889,6169,6021,14628,True
IDX_DLY_MPPA_60,4853,3906,5622,6638,14381,True
IDX_DLY_KIJA_60,1670,2199,10450,6936,14319,True
IDX_DLY_ADMF_60,1171,1659,11472,6299,14302,True
IDX_DLY_BRMS_60,3848,3814,6556,5919,14218,True
IDX_DLY_INDY_60,4215,4312,5626,7062,14153,True
IDX_DLY_RAJA_60,4217,4691,5217,6941,14125,True
IDX_DLY_BJTM_60,1079,1403,11623,7087,14105,True
IDX_DLY_BJBR_60,1654,1857,10538,7218,14049,True
IDX_DLY_DOID_60,4355,4410,5246,7285,14011,True
IDX_DLY_BISI_60,2088,2430,9322,7328,13840,True
IDX_DLY_PTPP_60,3633,3809,6372,7805,13814,True
IDX_DLY_TKIM_60,3365,3788,6651,7388,13804,True
IDX_DLY_BKSL_60,3165,3271,7340,6720,13776,True
IDX_DLY_ADES_60,2474,3089,8202,6917,13765,True
IDX_DLY_UNSP_60,3164,2941,7651,7011,13756,True
IDX_DLY_ERAA_60,3561,3943,6245,7739,13749,True
IDX_DLY_MEDC_60,3886,4405,5427,7505,13718,True
IDX_DLY_INCO_60,3609,4345,5748,7742,13702,True
IDX_DLY_WEHA_60,2222,2265,9213,6872,13700,True
IDX_DLY_KKGI_60,3637,3726,6294,7178,13657,True
IDX_DLY_DEWA_60,2506,2864,8283,4517,13653,True
IDX_DLY_IMAS_60,3619,3344,6676,6865,13639,True
IDX_DLY_META_60,2269,2537,8792,7028,13598,True
IDX_DLY_MAIN_60,3002,3313,7281,7327,13596,True
IDX_DLY_INKP_60,2919,3756,6913,7449,13588,True
IDX_DLY_SULI_60,3568,3195,6779,6931,13542,True
IDX_DLY_UNVR_60,1741,1786,10008,7675,13535,True
IDX_DLY_GJTL_60,2913,3129,7486,7670,13528,True
IDX_DLY_KAEF_60,3637,3482,6395,7482,13514,True
IDX_DLY_BEST_60,3378,3446,6684,7788,13508,True
IDX_DLY_ANTM_60,2977,3700,6821,7988,13498,True
IDX_DLY_KBLI_60,2239,2720,8524,7458,13483,True
IDX_DLY_HRUM_60,3388,3615,6476,7691,13479,True
IDX_DLY_SIMP_60,1795,2184,9497,7678,13476,True
IDX_DLY_SSIA_60,3378,3751,6325,7781,13454,True
IDX_DLY_LPCK_60,3527,3525,6396,7336,13448,True
IDX_DLY_WIKA_60,3329,3789,6298,7431,13416,True
IDX_DLY_ADHI_60,3605,3634,6171,8177,13410,True
IDX_DLY_SCMA_60,3380,3622,6401,7991,13403,True
IDX_DLY_BDMN_60,1743,2192,9452,7822,13387,True
IDX_DLY_ASGR_60,1526,2143,9688,7439,13357,True
IDX_DLY_CTRA_60,3135,3738,6477,8263,13350,True
IDX_DLY_TBIG_60,1975,2456,8905,7870,13336,True
IDX_DLY_PANS_60,1774,2428,9126,6119,13328,True
IDX_DLY_PNLF_60,2800,3240,7287,7901,13327,True
IDX_DLY_ICBP_60,994,1398,10930,8017,13322,True
IDX_DLY_KLBF_60,1486,1858,9977,8251,13321,True
IDX_DLY_ITMG_60,3084,3347,6850,7927,13281,True
IDX_DLY_SMRA_60,3461,3678,6121,8353,13260,True
IDX_DLY_WOMF_60,2229,2605,8418,6441,13252,True
IDX_DLY_ISAT_60,2832,3163,7255,7474,13250,True
IDX_DLY_ASRI_60,2916,3078,7251,8307,13245,True
IDX_DLY_TOTL_60,1865,2419,8952,7712,13236,True
IDX_DLY_AALI_60,1888,2259,9084,8076,13231,True
IDX_DLY_MPMX_60,1752,2077,9383,6552,13212,True
IDX_DLY_ELSA_60,2847,3391,6947,8088,13185,True
IDX_DLY_BBTN_60,2605,3027,7542,8401,13174,True
IDX_DLY_CPIN_60,2325,2964,7881,8083,13170,True
IDX_DLY_BSDE_60,2462,2792,7897,8466,13151,True
IDX_DLY_TMAS_60,3179,3647,6317,6569,13143,True
IDX_DLY_MAPI_60,2979,3662,6497,8025,13138,True
IDX_DLY_INTP_60,2631,2502,7992,8116,13125,True
IDX_DLY_BVIC_60,2965,2901,7254,7007,13120,True
IDX_DLY_GDST_60,3170,2878,7067,7447,13115,True
IDX_DLY_VIVA_60,3258,3112,6744,5109,13114,True
IDX_DLY_BAJA_60,3519,3069,6526,6949,13114,True
IDX_DLY_JPFA_60,3043,3766,6303,8112,13112,True
IDX_DLY_PTBA_60,2574,3186,7351,8327,13111,True
IDX_DLY_CFIN_60,2229,2605,8265,7915,13099,True
IDX_DLY_EXCL_60,2751,3152,7176,8230,13079,True
IDX_DLY_SMGR_60,2576,2809,7673,8428,13058,True
IDX_DLY_APLN_60,2849,2945,7259,8154,13053,True
IDX_DLY_BWPT_60,3557,3294,6150,8104,13001,True
IDX_DLY_BABP_60,2602,2370,8016,6820,12988,True
IDX_DLY_WINS_60,3505,3746,5731,7213,12982,True
IDX_DLY_BRPT_60,3270,3988,5671,7078,12929,True
IDX_DLY_ASSA_60,3172,3632,6118,7232,12922,True
IDX_DLY_ACES_60,2712,3115,7085,8328,12912,True
IDX_DLY_DILD_60,2115,2425,8328,8090,12868,True
IDX_DLY_JSMR_60,1784,2090,8991,8515,12865,True
IDX_DLY_PNBN_60,2690,3142,7022,7954,12854,True
IDX_DLY_GGRM_60,2129,2328,8394,8333,12851,True
IDX_DLY_SMMT_60,3074,3077,6684,5640,12835,True
IDX_DLY_LSIP_60,2625,3054,7152,8749,12831,True
IDX_DLY_SILO_60,2159,2650,8006,7020,12815,True
IDX_DLY_MTDL_60,1715,2760,8276,7275,12751,True
IDX_DLY_UNTR_60,2275,2767,7698,8631,12740,True
IDX_DLY_CNKO_60,2847,2770,7101,4690,12718,True
IDX_DLY_MYOR_60,1746,2401,8536,8175,12683,True
IDX_DLY_TRIS_60,1832,1828,8943,5141,12603,True
IDX_DLY_TBLA_60,1472,2048,9063,7404,12583,True
IDX_DLY_PYFA_60,3108,3642,5820,6281,12570,True
IDX_DLY_AUTO_60,1769,2194,8604,7777,12567,True
IDX_DLY_PNIN_60,1943,2293,8330,7404,12566,True
IDX_DLY_HMSP_60,1687,1879,8960,7469,12526,True
IDX_DLY_LPKR_60,2866,2813,6846,7822,12525,True
IDX_DLY_INDF_60,997,1297,10202,7494,12496,True
