group_id,time,regime_label,label_name,mapped_regime
IDX_DLY_AALI_60,2013-01-07 02:00:00,3,FLAT_NOISE,Sideways
IDX_DLY_AALI_60,2013-01-07 03:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-07 04:00:00,3,FLAT_NOISE,Sideways
IDX_DLY_AALI_60,2013-01-07 06:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-07 07:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-07 08:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-07 09:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-08 02:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-08 03:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-08 04:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-08 06:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-08 07:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-08 08:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-08 09:00:00,1,WEAK_SELL,Bear
IDX_DLY_AALI_60,2013-01-09 02:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-09 03:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-09 04:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-09 06:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-09 07:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
IDX_DLY_AALI_60,2013-01-09 08:00:00,2,BEAR_TRAP_ABSTAIN,ABSTAIN_TRAP
