split_family,split_name,current_positive_support,current_negative_support,current_min_wilson95_lcb,required_positive_support_for_95_if_all_correct,required_negative_support_for_95_if_all_correct,additional_pair_rows_needed_min,source_route_hint,allowed_use_before_approval
chronological_group_split,chronological_calibration,18,18,0.824115449418,73,73,55,"same approved owner-export family, balanced by chronological split bucket",False
chronological_group_split,chronological_test,19,19,0.831815634632,73,73,54,"same approved owner-export family, balanced by chronological split bucket",False
chronological_group_split,chronological_train,40,40,0.91237546075,73,73,33,"same approved owner-export family, balanced by chronological split bucket",False
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,73,73,73,CME/CBOT owner export with source-owned broad normal controls,False
heldout_symbol_exact,COMEX copper futures,0,2,0.0,73,73,73,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,0.0,73,73,73,LME plus linked COMEX owner export or licensed cross-market support route,False
heldout_symbol_exact,"10-Year T-Note Futures contract, December 2011 expiry",1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,"10-Year T-Note Futures contract, March 2010 expiry",1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,December 2017 Gold futures,1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,December 2017 Silver futures,1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,0.206543291474,73,73,72,ICE/IFEU owner export or licensed order-lifecycle support route,False
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,March-delivery Silver Futures,1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
