ts,open,high,low,close,volume,wap,count
2026-05-10T07:00:00+00:00,80710.25,80797.75,80710.0,80748.5,-1.0,-1.0,-1
2026-05-10T08:00:00+00:00,80748.5,80883.75,80731.25,80807.75,-1.0,-1.0,-1
2026-05-10T09:00:00+00:00,80807.75,80889.0,80740.5,80763.5,-1.0,-1.0,-1
2026-05-10T10:00:00+00:00,80763.5,80864.0,80681.0,80858.0,-1.0,-1.0,-1
2026-05-10T11:00:00+00:00,80858.0,80950.0,80702.0,80807.0,-1.0,-1.0,-1
2026-05-10T12:00:00+00:00,80807.0,80917.0,80763.75,80900.25,-1.0,-1.0,-1
2026-05-10T13:00:00+00:00,80900.25,80981.5,80872.75,80956.25,-1.0,-1.0,-1
2026-05-10T14:00:00+00:00,80956.25,80982.5,80816.5,80963.25,-1.0,-1.0,-1
2026-05-10T15:00:00+00:00,80963.25,81424.25,80925.5,81400.25,-1.0,-1.0,-1
2026-05-10T16:00:00+00:00,81400.25,81476.25,81186.5,81345.75,-1.0,-1.0,-1
2026-05-10T17:00:00+00:00,81345.75,81564.25,81219.25,81453.5,-1.0,-1.0,-1
2026-05-10T18:00:00+00:00,81453.5,81477.5,81234.5,81262.75,-1.0,-1.0,-1
2026-05-10T19:00:00+00:00,81262.75,81456.75,81150.0,81421.25,-1.0,-1.0,-1
2026-05-10T20:00:00+00:00,81421.25,81435.0,80267.75,80702.25,-1.0,-1.0,-1
2026-05-10T21:00:00+00:00,80702.25,80913.25,80575.5,80711.75,-1.0,-1.0,-1
2026-05-10T22:00:00+00:00,80711.75,82145.0,80655.5,82031.0,-1.0,-1.0,-1
2026-05-10T23:00:00+00:00,82031.0,82442.5,82030.75,82165.0,-1.0,-1.0,-1
2026-05-11T00:00:00+00:00,82165.0,82341.0,81264.25,81451.5,-1.0,-1.0,-1
2026-05-11T01:00:00+00:00,81451.5,81715.75,81272.0,81493.0,-1.0,-1.0,-1
2026-05-11T02:00:00+00:00,81493.0,81540.75,81090.25,81154.75,-1.0,-1.0,-1
2026-05-11T03:00:00+00:00,81154.75,81163.5,80512.25,80708.25,-1.0,-1.0,-1
2026-05-11T04:00:00+00:00,80708.25,80850.5,80624.75,80809.25,-1.0,-1.0,-1
2026-05-11T05:00:00+00:00,80809.25,80937.75,80731.0,80809.75,-1.0,-1.0,-1
2026-05-11T06:00:00+00:00,80809.75,81010.25,80746.25,80822.75,-1.0,-1.0,-1
2026-05-11T07:00:00+00:00,80822.75,80822.75,80647.0,80719.75,-1.0,-1.0,-1
2026-05-11T08:00:00+00:00,80719.75,80829.0,80607.5,80743.5,-1.0,-1.0,-1
2026-05-11T09:00:00+00:00,80743.5,80978.25,80743.25,80956.25,-1.0,-1.0,-1
2026-05-11T10:00:00+00:00,80956.25,81175.25,80924.0,80928.25,-1.0,-1.0,-1
2026-05-11T11:00:00+00:00,80928.25,81173.5,80898.0,81173.5,-1.0,-1.0,-1
2026-05-11T12:00:00+00:00,81173.5,81324.5,81004.0,81032.0,-1.0,-1.0,-1
2026-05-11T13:00:00+00:00,81032.0,81295.75,80750.0,81035.25,-1.0,-1.0,-1
2026-05-11T14:00:00+00:00,81035.25,81213.25,80459.5,80911.25,-1.0,-1.0,-1
2026-05-11T15:00:00+00:00,80911.25,81434.75,80792.25,81432.75,-1.0,-1.0,-1
2026-05-11T16:00:00+00:00,81432.75,81882.5,81327.0,81563.5,-1.0,-1.0,-1
2026-05-11T17:00:00+00:00,81563.5,82042.5,81348.5,81908.5,-1.0,-1.0,-1
2026-05-11T18:00:00+00:00,81908.5,82120.25,81827.0,81838.5,-1.0,-1.0,-1
2026-05-11T19:00:00+00:00,81838.5,82070.75,81762.5,81942.0,-1.0,-1.0,-1
2026-05-11T20:01:00+00:00,82011.75,82080.25,81763.0,81810.0,-1.0,-1.0,-1
2026-05-11T21:00:00+00:00,81810.0,81955.0,81590.25,81808.25,-1.0,-1.0,-1
2026-05-11T22:00:00+00:00,81808.25,81951.5,81720.0,81821.0,-1.0,-1.0,-1
2026-05-11T23:00:00+00:00,81821.0,81821.0,81609.75,81737.5,-1.0,-1.0,-1
2026-05-12T00:00:00+00:00,81737.5,81765.5,81462.0,81531.25,-1.0,-1.0,-1
2026-05-12T01:00:00+00:00,81531.25,81590.0,80700.25,81169.0,-1.0,-1.0,-1
2026-05-12T02:00:00+00:00,81169.0,81299.0,81077.5,81228.25,-1.0,-1.0,-1
2026-05-12T03:00:00+00:00,81228.25,81260.0,81179.25,81198.75,-1.0,-1.0,-1
