path,size_bytes
"/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv",8273022
"/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json",159781
"/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv",3201374
"/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json",55943
"/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv",4267811
"/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json",56948
"/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv",3560949
"/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json",54038
"/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv",30984640
"/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json",1324648
"/Users/thrill3r/Downloads/stock-market-regimes-20002026/regime_analysis_by_ticker.csv",1278
"/Users/thrill3r/Downloads/ictscripts/ICT Institutional Order Flow",53182
"/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv",8273022
"/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json",159781
"/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv",3201374
"/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json",55943
"/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv",4267811
"/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json",56948
"/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv",3560949
"/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json",54038
"/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv",30984640
"/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json",1324648
"/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/generated/pollingRecorderSource.js",72840
"/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/server/recorder.js",18720
"/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/server/videoRecorder.js",4886
"/Users/thrill3r/Downloads/camofox-browser/node_modules/has-symbols/test/shams/get-own-property-symbols.js",760
"/Users/thrill3r/Downloads/camofox-browser/node_modules/header-generator/data_files/headers-order.json",3691
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/types/order-by-first-call.d.ts",653
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/types/called-in-order.d.ts",1079
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/order-by-first-call.test.js",1463
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/called-in-order.js",1439
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/called-in-order.test.js",3732
"/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/order-by-first-call.js",811
"/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/css-sticky.js",2105
"/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/mediarecorder.js",2018
"/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/border-radius.js",2043
"/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/border-image.js",2178
"/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/fast-xml-builder/src/orderedJs2Xml.js",10403
"/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/asynckit/serialOrdered.js",1751
"/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/asynckit/lib/readable_serial_ordered.js",941
"/Users/thrill3r/Downloads/repo-intake/cognee/cognee/alembic/versions/1a58b986e6e1_enable_delete_for_old_tutorial_notebooks.py",1288
"/Users/thrill3r/Downloads/repo-intake/cognee/cognee/alembic/versions/45957f0a9849_add_notebook_table.py",1363
"/Users/thrill3r/Downloads/repo-intake/cognee/.github/workflows/reusable_notebook.yml",2239
"/Users/thrill3r/Downloads/repo-intake/cognee/.github/workflows/notebooks_tests.yml",593
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderBookEntry.cpp",3183
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderExpirationEntry.cpp",1825
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/LimitOrder.h",1832
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderBookEntry.h",991
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/TestOrderBookEntry.cpp",3086
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/LimitOrder.cpp",4793
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderExpirationEntry.h",868
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker_data_source.py",13258
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_query_result.pxd",401
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_expiration_entry.pxd",378
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/OrderBookEntry.pxd",590
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_message.py",2989
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker_entry.py",776
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/OrderExpirationEntry.pxd",680
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book.pxd",1926
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/composite_order_book.pxd",235
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/limit_order.pyx",8479
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_row.py",587
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/in_flight_order.py",14826
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/market_order.py",1836
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/limit_order.pxd",344
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/composite_order_book.pyx",9731
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book.pyx",19768
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker.py",33051
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_candidate.py",15612
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/remote_api_order_book_data_source.py",5477
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/LimitOrder.pxd",1383
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/perpetual_api_order_book_data_source.py",1809
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_expiration_entry.pyx",2752
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_query_result.pyx",647
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy_v2/utils/order_level_builder.py",4717
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/model/order.py",3072
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/model/order_status.py",1164
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/in_flight_order_base.pyx",6519
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/client_order_tracker.py",19171
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/test_support/mock_order_tracker.py",1605
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/markets_recorder.py",33245
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/gateway/gateway_order_tracker.py",2230
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/gateway/gateway_in_flight_order.py",9404
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/in_flight_order_base.pxd",585
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/tab/order_book_tab.py",3142
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/command/order_book_command.py",3053
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/command/ticker_command.py",3062
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_tracker.pxd",1695
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/perpetual_market_making/perpetual_market_making_order_tracker.py",1452
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_book_asset_price_delegate.pyx",1002
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/pure_market_making/pure_market_making_order_tracker.pyx",1880
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/pure_market_making/pure_market_making_order_tracker.pxd",212
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/hanging_orders_tracker.py",17966
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_book_asset_price_delegate.pxd",241
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_mining/order_id_market_pair_tracker.pyx",2427
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_mining/order_id_market_pair_tracker.pxd",520
"/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_tracker.pyx",14174
