ts,source_panel,instrument,market_context,provider_context,timeframe,context,split,root_label,p_Bull,p_Bear,p_Sideways,p_Crisis,p_UnknownOrMixed,state_entropy,top_state,top_state_probability
2005-01-03 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Sideways,0.22474132754084133,0.17722782656292208,0.37764665254060803,0.04035939072111264,0.18002480263451592,1.4481389599574517,Sideways,0.37764665254060803
2005-01-04 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Sideways,0.3165413410177832,0.15920687895870558,0.397157402780101,0.024318851410519537,0.1027755258328907,1.3476296003295545,Sideways,0.397157402780101
2005-01-05 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Sideways,0.35921463365355094,0.14509137781217166,0.3832629026770423,0.020749256359359508,0.09168182949787547,1.3148978088535384,Sideways,0.3832629026770423
2005-01-06 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,UnknownOrMixed,0.3865015885417059,0.13338850116314857,0.3687924545677134,0.020007407330952156,0.09131004839647976,1.3008160157442197,Bull,0.3865015885417059
2005-01-07 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Bull,0.40668843053767534,0.1239264431325807,0.3571169721576705,0.01996803685710569,0.09230011731496789,1.2904597369514985,Bull,0.40668843053767534
2005-01-10 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Bull,0.41333986428798364,0.1141831067161432,0.3581764831269521,0.01767602615095997,0.09662451971796117,1.2778382624761353,Bull,0.41333986428798364
2005-01-11 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Sideways,0.41934695565565816,0.1072293756786961,0.3584545011062778,0.0167976912286251,0.09817147633074275,1.268117948168502,Bull,0.41934695565565816
2005-01-12 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Sideways,0.40631690338301923,0.0980941485475265,0.3748026374527245,0.013331002750463393,0.10745530786626631,1.2587675003507364,Bull,0.40631690338301923
2005-01-13 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,Bull,0.41551139676909904,0.09845020321257075,0.3691065162116899,0.015429355112134344,0.10150252869450589,1.2575937446955412,Bull,0.41551139676909904
2005-01-14 00:00:00+00:00,breadth_sector,IWM,yfinance_US_small_cap_ETF,breadth_sector,1d,breadth_sector:IWM:1d,train,UnknownOrMixed,0.4079429457569162,0.09573251118405326,0.37552789382779395,0.014116985866946475,0.10667966336429013,1.25706562059474,Bull,0.4079429457569162
