path,classification,suffix,parser,key_count,best_schema,present_required_fields,missing_required_fields,present_fields,missing_fields,exact_schema_match,strong_partial_schema_match
/tmp/tickerstance_market_regime.headers,not_row_intake_candidate,.headers,unsupported_suffix,0,,0,0,,,False,False
/tmp/main_regime_taxonomy_enrichment_jq.ok,not_row_intake_candidate,.ok,unsupported_suffix,0,,0,0,,,False,False
/tmp/ict-regime-cogent-market-states.pdf,not_row_intake_candidate,.pdf,unsupported_suffix,0,,0,0,,,False,False
/tmp/regime_consumer_unit_pivot_v1.json.checked,not_row_intake_candidate,.checked,unsupported_suffix,0,,0,0,,,False,False
/tmp/hf_sujinwo_tsie-market-regime-dataset.json,data_file_needs_schema_owner_match,.json,json_keys,19,,0,0,,,False,False
/tmp/pump_telegram.csv,data_file_needs_schema_owner_match,.csv,csv_header,5,external_recency_rows,1,14,symbol,main_regime_v2_label;market_family;non_proxy_attestation;package_id;provenance_hash;qualifying_condition_id;source_dataset;source_revision_date;source_row_id;timeframe;timestamp;validation_instrument;validation_market_context;validation_period,False,False
/tmp/market_regime_context_packet_v1.json.tool.out,not_row_intake_candidate,.out,unsupported_suffix,0,,0,0,,,False,False
/tmp/regime_consumer_unit_pivot_v1.final.json.checked,not_row_intake_candidate,.checked,unsupported_suffix,0,,0,0,,,False,False
/tmp/mainregimev2_lock_after_false_v5_reopen.pretty.json,data_file_needs_schema_owner_match,.json,json_keys,16,,0,0,,,False,False
/tmp/parent_regime_taxonomy_pivot_v3.json.tool,not_row_intake_candidate,.tool,unsupported_suffix,0,,0,0,,,False,False
/tmp/gh_spoof_search.err,not_row_intake_candidate,.err,unsupported_suffix,0,,0,0,,,False,False
/tmp/mainregimev2_accepted_packet_demotion.jq.out,not_row_intake_candidate,.out,unsupported_suffix,0,,0,0,,,False,False
/tmp/evidence_packet_per_regime.final.valid,not_row_intake_candidate,.valid,unsupported_suffix,0,,0,0,,,False,False
/tmp/kaggle_market_regime.err,not_row_intake_candidate,.err,unsupported_suffix,0,,0,0,,,False,False
/tmp/zenodo_direct_manipulation_candidate_probe.pretty.json,data_file_needs_schema_owner_match,.json,json_keys,17,,0,0,,,False,False
/tmp/nonkaggle_github_source_label_search.pretty.json,data_file_needs_schema_owner_match,.json,json_keys,48,,0,0,,,False,False
/tmp/mainregimev2_source_window_attachability_v1.json.check,not_row_intake_candidate,.check,unsupported_suffix,0,,0,0,,,False,False
