command_id,exit_code,stdout_file,stderr_file
provider_status_agent,0,command-output/provider_status_agent.stdout.txt,command-output/provider_status_agent.stderr.txt
provider_status_tradingview_mcp,0,command-output/provider_status_tradingview_mcp.stdout.txt,command-output/provider_status_tradingview_mcp.stderr.txt
provider_status_yfinance,0,command-output/provider_status_yfinance.stdout.txt,command-output/provider_status_yfinance.stderr.txt
auto_quant_status_json,0,command-output/auto_quant_status_json.stdout.txt,command-output/auto_quant_status_json.stderr.txt
analyze_demo_agent,0,command-output/analyze_demo_agent.stdout.txt,command-output/analyze_demo_agent.stderr.txt
pre_bayes_status_json,0,command-output/pre_bayes_status_json.stdout.txt,command-output/pre_bayes_status_json.stderr.txt
policy_training_status_json,0,command-output/policy_training_status_json.stdout.txt,command-output/policy_training_status_json.stderr.txt
workflow_status_execution_candidate_agent,0,command-output/workflow_status_execution_candidate_agent.stdout.txt,command-output/workflow_status_execution_candidate_agent.stderr.txt
workflow_status_structural_path_bundle_agent,0,command-output/workflow_status_structural_path_bundle_agent.stdout.txt,command-output/workflow_status_structural_path_bundle_agent.stderr.txt
workflow_status_full_json,0,command-output/workflow_status_full_json.stdout.txt,command-output/workflow_status_full_json.stderr.txt
export_structural_path_ranking_target,0,command-output/export_structural_path_ranking_target.stdout.txt,command-output/export_structural_path_ranking_target.stderr.txt
