label,url,method,status,content_type,content_length,bytes_saved,looks_pdf,sha256,raw_path,error
courtlistener_storage_doc_1_0,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,GET,cached,application/pdf,381634,381634,True,65f528e5520a33a68c7301da78fec55a152e750aa6a9bae730057ffdaded484b,/tmp/ict-engine-r6-public-docket-attachment-route-probe-after-080700-v1/raw/courtlistener_storage_doc_1_0.bin,
courtlistener_storage_doc_1_1,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,GET,cached,application/pdf,1132071,1132071,True,3ceb2758093d3ec9ec1a861ee1ab52074175517b158ffb50aff014ddac017a66,/tmp/ict-engine-r6-public-docket-attachment-route-probe-after-080700-v1/raw/courtlistener_storage_doc_1_1.bin,
courtlistener_storage_doc_1_2,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.2.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_storage_doc_1_3,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.3.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_storage_doc_1_4,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.4.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_storage_doc_1_5,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.5.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_storage_doc_1_6,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.6.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_storage_doc_1_7,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.7.pdf,HEAD,429,text/html,964,0,False,,,HTTPError:429
courtlistener_docket_or_api_1,https://www.courtlistener.com/docket/4263217/us-commodity-futures-trading-commission-v-oystacher/,HEAD,403,text/html,919,0,False,,,HTTPError:403
courtlistener_docket_or_api_2,https://www.courtlistener.com/api/rest/v4/dockets/4263217/,HEAD,401,application/json,58,0,False,,,HTTPError:401
courtlistener_docket_or_api_3,https://www.courtlistener.com/api/rest/v4/recap-documents/?docket=4263217,HEAD,401,application/json,58,0,False,,,HTTPError:401
cftc_public_context_1,https://www.cftc.gov/sites/default/files/idc/groups/public/%40lrenforcementactions/documents/legalpleading/enfigorcomplnt101915.pdf,GET,200,application/pdf,2553330,2553330,True,6a2a951e3c02285cb1df085e314c7ae2a2a0c089f283998641ea66fce5ce8591,/tmp/ict-engine-r6-public-docket-attachment-route-probe-after-080700-v1/raw/cftc_public_context_1.bin,
cftc_public_context_2,https://www.cftc.gov/PressRoom/PressReleases/7253-15,HEAD,200,text/html; charset=UTF-8,,0,False,,,
justia_public_docket_page_1,https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2015cv09196/316889/50/,HEAD,403,text/html; charset=UTF-8,5657,0,False,,,HTTPError:403
justia_public_docket_page_2,https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2015cv09196/316889/195/,HEAD,403,text/html; charset=UTF-8,5660,0,False,,,HTTPError:403
justia_public_docket_page_3,https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2015cv09196/316889/236/,HEAD,403,text/html; charset=UTF-8,5596,0,False,,,HTTPError:403
justia_public_docket_page_4,https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2015cv09196/316889/237/,HEAD,403,text/html; charset=UTF-8,5639,0,False,,,HTTPError:403
