provider,instrument,timeframe,root,data_status,slot_status,source_status,proxy_scores_allowed_for_acceptance,required_action
yfinance,CL=F,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
