source_window_id,root,provider,instrument,market_context,timeframe,start_date,end_date,row_count,train_rows,calibration_rows,test_rows,rule,min_sideways_abs_return_ratio,max_sideways_abs_return_ratio,min_sideways_range_ratio,max_sideways_range_ratio,status
sideways-BNB-USD-1d-2018-11-04-2018-11-12,Sideways,yfinance_cache,BNB-USD,crypto,1d,2018-11-04,2018-11-12,9,9,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0256611147545,0.495654810727,0.246271399326,0.262701415429,materialized_scoped_dated_window
sideways-BNB-USD-1d-2020-06-15-2020-06-26,Sideways,yfinance_cache,BNB-USD,crypto,1d,2020-06-15,2020-06-26,12,12,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0354487856043,0.461331019628,0.306423776746,0.308794593695,materialized_scoped_dated_window
sideways-BNB-USD-1d-2020-07-06-2020-07-08,Sideways,yfinance_cache,BNB-USD,crypto,1d,2020-07-06,2020-07-08,3,3,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.143529180516,0.350918113109,0.311668431316,0.311817438924,materialized_scoped_dated_window
sideways-BNB-USD-1d-2020-07-16-2020-07-18,Sideways,yfinance_cache,BNB-USD,crypto,1d,2020-07-16,2020-07-18,3,3,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0135785209313,0.42354425065,0.35142592408,0.351583540832,materialized_scoped_dated_window
sideways-BNB-USD-1d-2022-10-18-2022-10-19,Sideways,yfinance_cache,BNB-USD,crypto,1d,2022-10-18,2022-10-19,2,2,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.193770561211,0.344027580726,0.255470479946,0.255648494768,materialized_scoped_dated_window
sideways-BNB-USD-1d-2022-10-25-2022-10-28,Sideways,yfinance_cache,BNB-USD,crypto,1d,2022-10-25,2022-10-28,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.144086258345,0.377229951174,0.224121849184,0.230787792359,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-03-10-2023-03-12,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-03-10,2023-03-12,3,0,3,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0201889812644,0.144176185218,0.333794969538,0.333930419373,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-03-14-2023-03-15,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-03-14,2023-03-15,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0514298222084,0.443650831828,0.333091209539,0.333125467637,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-05-12-2023-05-15,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-05-12,2023-05-15,4,0,4,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.00833791474087,0.412584336899,0.228059798181,0.23135284879,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-05-17-2023-05-17,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-05-17,2023-05-17,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.438398376885,0.438398376885,0.228785321064,0.228785321064,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-05-21-2023-05-21,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-05-21,2023-05-21,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.398198158567,0.398198158567,0.23661833676,0.23661833676,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-05-23-2023-05-24,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-05-23,2023-05-24,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.228862578569,0.432333766908,0.23698115885,0.2404513929,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-05-26-2023-06-04,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-05-26,2023-06-04,10,0,10,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0113720707194,0.238253253624,0.247633861144,0.248242911457,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-08-08-2023-08-16,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-08-08,2023-08-16,9,0,9,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0848647608198,0.497546083244,0.194232032875,0.194529394143,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-08-27-2023-08-27,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-08-27,2023-08-27,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.444119488646,0.444119488646,0.35159613536,0.35159613536,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-08-29-2023-08-29,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-08-29,2023-08-29,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.468267991394,0.468267991394,0.352290024036,0.352290024036,materialized_scoped_dated_window
sideways-BNB-USD-1d-2023-10-16-2023-10-31,Sideways,yfinance_cache,BNB-USD,crypto,1d,2023-10-16,2023-10-31,16,0,16,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0399950155884,0.499670535388,0.184128960745,0.196813978897,materialized_scoped_dated_window
sideways-BNB-USD-1d-2024-05-15-2024-05-17,Sideways,yfinance_cache,BNB-USD,crypto,1d,2024-05-15,2024-05-17,3,0,3,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0276567529502,0.400037171295,0.335769618729,0.336027109593,materialized_scoped_dated_window
sideways-BNB-USD-1d-2024-05-19-2024-05-19,Sideways,yfinance_cache,BNB-USD,crypto,1d,2024-05-19,2024-05-19,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.26841411028,0.26841411028,0.249264759788,0.249264759788,materialized_scoped_dated_window
sideways-BNB-USD-1d-2024-05-23-2024-05-31,Sideways,yfinance_cache,BNB-USD,crypto,1d,2024-05-23,2024-05-31,9,0,9,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0838068083727,0.45006316874,0.26093689657,0.261535717641,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-01-26-2025-01-31,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-01-26,2025-01-31,6,0,0,6,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.084182302498,0.383224437996,0.264108099276,0.267612545824,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-04-25-2025-05-07,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-04-25,2025-05-07,13,0,0,13,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0134903771087,0.37661622408,0.319677328494,0.320118606304,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-05-14-2025-05-14,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-05-14,2025-05-14,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.445059243364,0.445059243364,0.339379425695,0.339379425695,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-05-16-2025-05-20,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-05-16,2025-05-20,5,0,0,5,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.152361699051,0.442826004357,0.338043843247,0.338784602077,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-06-21-2025-06-22,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-06-21,2025-06-22,2,0,0,2,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.133598175706,0.140026609111,0.286588458984,0.286664053877,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-07-07-2025-07-12,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-07-07,2025-07-12,6,0,0,6,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0695089216529,0.44873846063,0.197813188604,0.204496657037,materialized_scoped_dated_window
sideways-BNB-USD-1d-2025-07-14-2025-07-14,Sideways,yfinance_cache,BNB-USD,crypto,1d,2025-07-14,2025-07-14,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.488185460601,0.488185460601,0.210497474525,0.210497474525,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-01-05-2026-01-05,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-01-05,2026-01-05,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.337063486292,0.337063486292,0.347142511494,0.347142511494,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-01-10-2026-01-18,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-01-10,2026-01-18,9,0,0,9,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0325375452159,0.453538588128,0.217528833539,0.259778123242,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-01-21-2026-01-30,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-01-21,2026-01-30,10,0,0,10,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0940570986015,0.492061668023,0.246271909921,0.250675914436,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-04-06-2026-04-07,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-04-06,2026-04-07,2,0,0,2,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0845928764677,0.462955484168,0.279001236567,0.279272351705,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-04-09-2026-04-23,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-04-09,2026-04-23,15,0,0,15,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0181998281459,0.487126557226,0.279480126962,0.280429619139,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-04-26-2026-05-02,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-04-26,2026-05-02,7,0,0,7,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.00112561779195,0.286502774012,0.278711313907,0.279014713504,materialized_scoped_dated_window
sideways-BNB-USD-1d-2026-05-04-2026-05-10,Sideways,yfinance_cache,BNB-USD,crypto,1d,2026-05-04,2026-05-10,7,0,0,7,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0414199728695,0.369684217517,0.278858043139,0.279499873798,materialized_scoped_dated_window
sideways-BNB-USD-1w-2023-12-04-2023-12-18,Sideways,yfinance_cache,BNB-USD,crypto,1w,2023-12-04,2023-12-18,3,0,3,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0829081959183,0.49135944482,0.213788977432,0.305477693344,materialized_scoped_dated_window
sideways-BNB-USD-1w-2025-06-09-2025-07-07,Sideways,yfinance_cache,BNB-USD,crypto,1w,2025-06-09,2025-07-07,5,0,0,5,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.00536412252127,0.447846034886,0.272751531667,0.305616554496,materialized_scoped_dated_window
sideways-BTC-USD-1d-2015-05-23-2015-05-26,Sideways,yfinance_cache,BTC-USD,crypto,1d,2015-05-23,2015-05-26,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.17750023908,0.382982110181,0.317232520199,0.317825318861,materialized_scoped_dated_window
sideways-BTC-USD-1d-2015-05-28-2015-05-30,Sideways,yfinance_cache,BTC-USD,crypto,1d,2015-05-28,2015-05-30,3,3,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.182142171063,0.371209690224,0.318291222319,0.318769485349,materialized_scoped_dated_window
sideways-BTC-USD-1d-2015-06-09-2015-06-15,Sideways,yfinance_cache,BTC-USD,crypto,1d,2015-06-09,2015-06-15,7,7,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.200181847821,0.503553600444,0.190910297421,0.19353507654,materialized_scoped_dated_window
sideways-BTC-USD-1d-2015-06-20-2015-06-23,Sideways,yfinance_cache,BTC-USD,crypto,1d,2015-06-20,2015-06-23,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.347602002516,0.469440921909,0.243352782056,0.243929071432,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-03-11-2016-03-14,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-03-11,2016-03-14,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.268568791404,0.49688404183,0.335706690361,0.336488720515,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-03-18-2016-03-18,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-03-18,2016-03-18,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.481703139317,0.481703139317,0.314584948363,0.314584948363,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-03-20-2016-03-21,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-03-20,2016-03-21,2,2,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0618509935249,0.128402024571,0.314237328992,0.314276691271,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-03-24-2016-03-24,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-03-24,2016-03-24,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.277584157708,0.277584157708,0.31321222768,0.31321222768,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-04-14-2016-04-14,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-04-14,2016-04-14,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.348942888398,0.348942888398,0.167105138113,0.167105138113,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-04-16-2016-04-22,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-04-16,2016-04-22,7,7,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0805381597707,0.47207901422,0.164885356506,0.21059809638,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-04-27-2016-04-30,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-04-27,2016-04-30,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.234440547068,0.331279291679,0.28021425498,0.280721631157,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-05-02-2016-05-02,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-05-02,2016-05-02,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.454918192964,0.454918192964,0.279656156618,0.279656156618,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-05-19-2016-05-19,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-05-19,2016-05-19,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.502712780118,0.502712780118,0.219458315014,0.219458315014,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-05-21-2016-05-22,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-05-21,2016-05-22,2,2,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.424240957578,0.500272263966,0.212570433842,0.212742498906,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-09-29-2016-09-30,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-09-29,2016-09-30,2,2,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0475998238895,0.253303101759,0.24205995685,0.242083547875,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-10-03-2016-10-03,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-10-03,2016-10-03,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.487703006266,0.487703006266,0.18061747989,0.18061747989,materialized_scoped_dated_window
sideways-BTC-USD-1d-2016-10-05-2016-10-10,Sideways,yfinance_cache,BTC-USD,crypto,1d,2016-10-05,2016-10-10,6,6,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.285857609214,0.443842735445,0.179650172373,0.180314806422,materialized_scoped_dated_window
sideways-BTC-USD-1d-2018-10-05-2018-10-08,Sideways,yfinance_cache,BTC-USD,crypto,1d,2018-10-05,2018-10-08,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.106573612995,0.394765664374,0.32471370853,0.32502701532,materialized_scoped_dated_window
sideways-BTC-USD-1d-2018-10-10-2018-10-26,Sideways,yfinance_cache,BTC-USD,crypto,1d,2018-10-10,2018-10-26,17,17,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.000552462767397,0.496140839825,0.312254715364,0.320042477445,materialized_scoped_dated_window
sideways-BTC-USD-1d-2018-11-05-2018-11-13,Sideways,yfinance_cache,BTC-USD,crypto,1d,2018-11-05,2018-11-13,9,9,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0078088670223,0.40711148714,0.134067524643,0.142784298492,materialized_scoped_dated_window
sideways-BTC-USD-1d-2019-02-18-2019-02-22,Sideways,yfinance_cache,BTC-USD,crypto,1d,2019-02-18,2019-02-22,5,5,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0298152449214,0.44086376951,0.332807612059,0.333664279404,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-06-28-2020-06-28,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-06-28,2020-06-28,1,1,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.324340475491,0.324340475491,0.303788158616,0.303788158616,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-06-30-2020-07-09,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-06-30,2020-07-09,10,10,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.119790586487,0.499854977416,0.302939279383,0.303761979379,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-07-11-2020-07-22,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-07-11,2020-07-22,12,12,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0058546424233,0.492793031495,0.266394173282,0.267714158745,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-09-25-2020-09-29,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-09-25,2020-09-29,5,5,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.123783740298,0.352384845607,0.344821493466,0.345525124583,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-10-01-2020-10-03,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-10-01,2020-10-03,3,3,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.327315346251,0.496734573834,0.34625315655,0.34694146839,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-10-10-2020-10-15,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-10-10,2020-10-15,6,6,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0833762824174,0.306339189757,0.350000384858,0.350852036456,materialized_scoped_dated_window
sideways-BTC-USD-1d-2020-10-17-2020-10-20,Sideways,yfinance_cache,BTC-USD,crypto,1d,2020-10-17,2020-10-20,4,4,0,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0956464966541,0.439996325441,0.304650084103,0.30484046695,materialized_scoped_dated_window
sideways-BTC-USD-1d-2022-10-25-2022-11-03,Sideways,yfinance_cache,BTC-USD,crypto,1d,2022-10-25,2022-11-03,10,0,10,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0675230137866,0.430064255017,0.35217253225,0.353587006009,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-01-09-2023-01-10,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-01-09,2023-01-10,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.184900716059,0.201554202433,0.219315715169,0.21940530922,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-05-16-2023-06-04,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-05-16,2023-06-04,20,0,20,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0772514316011,0.451913846672,0.237363381713,0.268622661926,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-06-06-2023-06-07,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-06-06,2023-06-07,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.205029850245,0.477615759275,0.30635544908,0.30664734404,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-06-19-2023-06-20,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-06-19,2023-06-20,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.320960756119,0.41155076917,0.293554616522,0.293742932081,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-08-17-2023-08-18,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-08-17,2023-08-18,2,0,2,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.103893035035,0.248740513007,0.293935289463,0.331654246039,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-10-01-2023-10-08,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-10-01,2023-10-08,8,0,8,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.333942390459,0.503002025643,0.288948439192,0.311034036454,materialized_scoped_dated_window
sideways-BTC-USD-1d-2023-10-15-2023-10-15,Sideways,yfinance_cache,BTC-USD,crypto,1d,2023-10-15,2023-10-15,1,0,1,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.447744295215,0.447744295215,0.192872916235,0.192872916235,materialized_scoped_dated_window
sideways-BTC-USD-1d-2024-02-02-2024-02-08,Sideways,yfinance_cache,BTC-USD,crypto,1d,2024-02-02,2024-02-08,7,0,7,0,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.112869248822,0.28968281621,0.316105159799,0.316592806619,materialized_scoped_dated_window
sideways-BTC-USD-1d-2024-04-28-2024-04-30,Sideways,yfinance_cache,BTC-USD,crypto,1d,2024-04-28,2024-04-30,3,0,0,3,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0811193050666,0.359859492985,0.320832017383,0.338370614205,materialized_scoped_dated_window
sideways-BTC-USD-1d-2024-07-02-2024-07-03,Sideways,yfinance_cache,BTC-USD,crypto,1d,2024-07-02,2024-07-03,2,0,0,2,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.114064578119,0.484878318746,0.308916585769,0.312072647879,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-01-12-2025-01-12,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-01-12,2025-01-12,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.359175495142,0.359175495142,0.355219897162,0.355219897162,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-01-14-2025-01-14,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-01-14,2025-01-14,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.500373226872,0.500373226872,0.305743215008,0.305743215008,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-01-20-2025-01-20,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-01-20,2025-01-20,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.297103975156,0.297103975156,0.263061317793,0.263061317793,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-01-22-2025-01-22,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-01-22,2025-01-22,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.500780019941,0.500780019941,0.262583971753,0.262583971753,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-01-28-2025-01-28,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-01-28,2025-01-28,1,0,0,1,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.330981310066,0.330981310066,0.251310728815,0.251310728815,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-02-01-2025-02-12,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-02-01,2025-02-12,12,0,0,12,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0166344026195,0.469139719081,0.250061164931,0.251223381471,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-02-16-2025-02-25,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-02-16,2025-02-25,10,0,0,10,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.0504944582454,0.480424043537,0.252435082589,0.322499398208,materialized_scoped_dated_window
sideways-BTC-USD-1d-2025-07-07-2025-07-08,Sideways,yfinance_cache,BTC-USD,crypto,1d,2025-07-07,2025-07-08,2,0,0,2,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.408297740322,0.483908939947,0.182827577013,0.182999186231,materialized_scoped_dated_window
