field,required,role,notes
label,true,target,"positive_spoofing_layering or matched_negative_normal_activity"
source_report,true,provenance,"FINRA Potential Manipulation Report or equivalent venue/surveillance export"
source_section,true,provenance,"Layering Detail Data or Spoofing Detail Data when available"
trade_date,true,time_key,"Business date for event or matched negative control window"
symbol,true,instrument_key,"Security symbol"
venue_or_market_center,true,venue_key,"Market center or venue code from report/export"
participant_type_code,true,entity_key,"Firm/participant type when available"
participant_identifier,true,entity_key,"Firm/participant identifier when available"
crd_number,false,entity_key,"CRD number if present in source export"
side,true,event_feature,"Order side involved in event/control window"
earliest_order_received_time,true,time_feature,"Earliest order-received timestamp in pattern/control window"
latest_order_received_time,true,time_feature,"Latest order-received timestamp in pattern/control window"
pbbo_bid_earliest,false,order_book_context,"PBBO bid at earliest order time if provided"
pbbo_ask_earliest,false,order_book_context,"PBBO ask at earliest order time if provided"
pbbo_bid_latest,false,order_book_context,"PBBO bid at latest order time if provided"
pbbo_ask_latest,false,order_book_context,"PBBO ask at latest order time if provided"
order_count,true,event_feature,"Number of orders in pattern/control window"
total_order_quantity,true,event_feature,"Total quantity in pattern/control window"
activity_description,true,label_context,"Source activity description or reason code"
exception_count,false,label_context,"Exception count if source export provides it"
matched_negative_group_id,true,control_key,"Pairs positives and normal controls by venue/instrument/date/session/liquidity bucket"
session_bucket,true,control_key,"Regular/open/close/extended or source-native session code"
liquidity_bucket,false,control_key,"Optional spread/depth/ADV bucket for tighter matched controls"
source_row_id,true,provenance,"Stable row id from export or deterministic hash of source keys"
