command,exit,status
00_board_and_process_guard,0,pass
01_provider_status_agent,0,pass
02_provider_status_yfinance,0,pass
03_provider_status_ibkr,0,pass_status_unhealthy
04_provider_status_tradingview_mcp,0,pass_status_unhealthy
05_provider_status_kraken_public,0,pass_status_unhealthy
06_provider_status_kraken_cli,0,pass
07_yfinance_qqq_1h,0,pass
08_ibkr_spy_1d_uv,0,pass
09_tradingview_harness_qqq_1d,1,expected_fail_provider_unhealthy
10_kraken_public_xbtusd_1h,0,pass
11_kraken_cli_xbtusd_1h,0,pass
12_auto_quant_status,0,pass_status_missing_dependency_on_tmp_copy
13_auto_quant_results_import,0,pass
14_auto_quant_prior_init,1,expected_fail_duplicate_prior_refused
15_auto_quant_ingest_real_trades,1,expected_fail_duplicate_ingest_refused
16_analyze_downstream,0,pass
17_pre_bayes_status,0,pass_observe_only
18_policy_training_status,0,pass_not_ready
19_export_structural_path_ranking_target,0,pass
20_workflow_structural_bundle,0,pass_blocked_user_selected_data
21_workflow_execution_candidate,0,pass_execution_blocked
22_workflow_full,0,pass
