requirement_id,requirement,evidence,status,blocker,next_action
R1,All active lanes have a 95% consumer factor,"regime_factor_consumer_map_v1: accepted_95 lane count 5/5; assertions PASS",pass_scoped,"Scope explicitly says full_species_still_blocked","Use the consumer map only as scoped downstream contract"
R2,Price roots Bull Bear Sideways Crisis reach 95% confidence,"market_regime_context_packet_v1: Bull 0.9797225384; Bear 0.963920242; Sideways 0.9529358324; Crisis 0.9619059575",pass_scoped,"Context packet is not ticker-specific alpha, intraday timing, or full-cycle/full-species completion","Keep as regime context for pre-Bayes BBN CatBoost execution-tree sizing/suppression/audit"
R3,Other timeframe validation for price roots,"source_consensus_axiswise_timeframe_gate_v1: 1w/1mo x four roots accepted 8/8",pass_scoped,"Unsupported intraday/full-species cells remain open","Use as same-source weekly/monthly context only"
R4,Other market and strict intraday validation,"exact_1h_source_universe_expansion_v1: 39 tickers checked; strict accepted rows 41/156; Bull anchor plus PFE/TSLA covers four roots with selected strict rows",partial,"Strict ticker/root support remains partial at 41/156 and is not full-market coverage","Do targeted positive expansion only where source-date overlap exists"
R5,Full-cycle and 2026 recency coverage,"Board and consumer-unit pivot note source panel tail/recency remains incomplete beyond 2026-01-30 if demanded",blocked,"Full-cycle/full-recency coverage is not closed","Extend source-owned source-label panel for 2026 and rerun unchanged gates"
R6,Direct Manipulation has accepted direct evidence,"regime_factor_consumer_map_v1: scoped Manipulation floor 0.967945 across Telegram pump, DEX self-trade, consecutive self-trade, Midsummer BSC, Midsummer multichain",pass_scoped,"Only scoped direct varieties are accepted","Use scoped overlay only for suppression/cooldown/abstain/risk/audit"
R7,Full direct Manipulation species coverage,"direct_manipulation_variety_matrix_v1: missing or blocked pump_dump_social_text_or_twitter, spoofing_layering_enforcement_cases, local_spoofing_repos, quote_stuffing, pinging, bear_raid_or_painting_tape",blocked,"Full species coverage incomplete","Acquire source-owned direct rows and matched negative controls for missing varieties"
R8,Spoofing/layering row-level controls,"direct_manipulation_row_intake_manifest_v1: accepted rows added 0; required positive rows, matched negatives, provenance manifest not acquired",blocked,"204 positive cases are inventory only and matched negative rows are 0","Fill /tmp/ict-engine-direct-manipulation-row-intake with required source-owned files and run verifier"
R9,Proxy and ontology guardrails,"Board, consumer map, and intake manifest reject OHLCV/session/liquidity/sweep/HMM/generated/future-return labels and unsupported IXIC-to-NDX promotion",pass,"No completion blocker; guardrail must remain active","Keep fail-closed semantics"
R10,Downstream consumer contract exists without overclaim,"regime_factor_consumer_map_v1.csv exists and sets allowed_action/limits per lane; assertions PASS",pass_scoped,"Trade usable false and full objective false","Route downstream consumers through scoped contract only"
R11,Report result only after all criteria close,"All inspected artifacts state full_objective_achieved=false or update_goal=false",blocked,"At least R5, R7, R8 remain blocked and R4 remains partial","Do not call update_goal; continue acquisition/coverage work"
