requirement,status,evidence,artifact,blocker
Use Board A markdown as authoritative plan,covered,exists=True sha256=a5474743f29cf60282df90111b066416b38e5f0f176a01c118685674bb136980,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,
Every active regime/root reaches 95%+ calibrated confidence,blocked,accepted_rows_added=0; valid_required_root_unlock=false,docs/experiments/actionable-regime-confidence/runs/20260512T075009+0800-codex-source-control-arrival-poll-after-074700-v1/source-control-arrival-poll-after-074700-v1/source_control_arrival_poll_after_074700_v1.json,"R6 approval/controls absent, R5 source-panel rows absent, R3 Crisis-capable labels absent."
Validate across other markets and periods/timeframes,blocked,074424/074447 found zero required source exports; 074844 raw GC OHLCV is unlabeled,docs/experiments/actionable-regime-confidence/runs/20260512T074844+0800-codex-databento-gc-raw-recency-disposition-after-074424-v1/databento-gc-raw-recency-disposition-after-074424-v1/databento_gc_raw_recency_disposition_after_074424_v1.json,No accepted cross-context MainRegimeV2 source export exists.
Use IBKR/TradingViewRemix/yfinance/Kraken where available,partial,provider_summary=entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready,docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,Provider readback is partial and non-promoting.
Operate AutoQuant,partial,auto_quant_status=dependency_ready_data_ready,docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,Selected-data AutoQuant promotion is blocked by missing source/control unlock.
Operate filter/Pre-Bayes/BBN/CatBoost/path-ranking/execution tree,blocked,"workflow_blocking_reason=user_selected_historical_data_missing; path_ranking={'calibrated_rows': 0, 'mature_rows': 0, 'rows': 1}",docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,Downstream promotion remains forbidden before source/control unlock and canonical merge.
Acquire R6 owner/export controls or explicit approval,blocked,"r6_root_exists=False; approval={'exists': True, 'approval_present': False, 'canonical_merge_allowed_now': False, 'downstream_rerun_allowed_now': False, 'flip_controls_accepted_under_current_contract': False, 'positive_spoof_rows': 5182, 'flip_rows': 1553, 'matched_groups': 1313}",/private/tmp/r6_oystacher_approval_decision_package_v1.json.valid,Approval package is non-approving and owner/export root is absent.
Acquire post-2026-01-30 R5 source-panel rows,blocked,r5_root_exists=False; databento_post_cutoff=true; source_label_columns=false,docs/experiments/actionable-regime-confidence/runs/20260512T074844+0800-codex-databento-gc-raw-recency-disposition-after-074424-v1/databento-gc-raw-recency-disposition-after-074424-v1/databento_gc_raw_recency_disposition_after_074424_v1.json,Post-cutoff raw OHLCV is not source-owned MainRegimeV2 labels.
Acquire verifier-native Crisis-capable R3 native-subhour labels,blocked,r3_root_exists=True; r3_gate=r3_possible_file_manual_review_after_073755_v1=tsie_existing_native_subhour_root_non_promoting_no_unlock,docs/experiments/actionable-regime-confidence/runs/20260512T074116+0800-codex-r3-possible-file-manual-review-after-073755-v1/r3-possible-file-manual-review-after-073755-v1/r3_possible_file_manual_review_after_073755_v1.json,Existing TSIE-derived root is Crisis-incomplete and non-promoting.
Preserve multi-agent board work,covered,this run is additive; Current Cursor is not edited; target roots are not mutated,docs/experiments/actionable-regime-confidence/runs/20260512T075413+0800-codex-board-a-latest-completion-audit-after-075009-v1,
Only call update_goal when the whole objective is complete,blocked,strict_full_objective=false; update_goal=false,docs/experiments/actionable-regime-confidence/runs/20260512T075413+0800-codex-board-a-latest-completion-audit-after-075009-v1,Blocked requirements remain.
