avg_pnl,breakeven,chronological_period,first_ts,last_ts,loss_rate,losses,rows,source_provider,total_pnl,win_rate,wins
12.035051,0,early,2026-04-05T03:00:00Z,2026-04-18T22:00:00Z,0.5,10,20,binance_public,240.701018,0.5,10
-3.10387,0,late,2026-04-29T04:00:00Z,2026-05-11T12:00:00Z,0.666667,10,15,binance_public,-46.558047,0.333333,5
-12.641133,0,middle,2026-04-19T12:00:00Z,2026-04-28T08:00:00Z,0.823529,14,17,binance_public,-214.899256,0.176471,3
10.777675,0,early,2026-04-05T03:00:00Z,2026-04-18T22:00:00Z,0.52381,11,21,bybit_public,226.331172,0.47619,10
-1.94638,0,late,2026-04-29T04:00:00Z,2026-05-11T16:00:00Z,0.642857,9,14,bybit_public,-27.249322,0.357143,5
-13.898387,0,middle,2026-04-19T12:00:00Z,2026-04-28T08:00:00Z,0.8125,13,16,bybit_public,-222.374185,0.1875,3
13.263917,0,early,2026-04-05T09:00:00Z,2026-04-16T19:00:00Z,0.555556,10,18,ibkr_paxos_long_midpoint,238.750509,0.444444,8
-3.387275,0,late,2026-04-29T04:00:00Z,2026-05-11T10:00:00Z,0.714286,10,14,ibkr_paxos_long_midpoint,-47.421852,0.285714,4
-9.98531,0,middle,2026-04-19T15:00:00Z,2026-04-28T08:00:00Z,0.75,9,12,ibkr_paxos_long_midpoint,-119.82372,0.25,3
-3.840774,0,early,2026-04-16T12:00:00Z,2026-04-19T12:00:00Z,0.666667,4,6,kraken_public,-23.044644,0.333333,2
-2.945736,0,late,2026-04-29T04:00:00Z,2026-05-11T16:00:00Z,0.642857,9,14,kraken_public,-41.240308,0.357143,5
-5.188359,0,middle,2026-04-19T14:00:00Z,2026-04-28T08:00:00Z,0.75,9,12,kraken_public,-62.260304,0.25,3
1.855514,0,early,2026-04-16T12:00:00Z,2026-04-18T22:00:00Z,0.6,3,5,tvr_default_binance,9.27757,0.4,2
-3.119124,0,late,2026-04-29T04:00:00Z,2026-05-11T12:00:00Z,0.666667,10,15,tvr_default_binance,-46.786853,0.333333,5
-12.482735,0,middle,2026-04-19T12:00:00Z,2026-04-28T08:00:00Z,0.823529,14,17,tvr_default_binance,-212.206493,0.176471,3
30.984668,0,early,2026-04-05T03:00:00Z,2026-04-16T16:00:00Z,0.333333,3,9,yfinance,278.862011,0.666667,6
-0.393193,0,late,2026-04-29T18:00:00Z,2026-05-10T23:00:00Z,0.571429,4,7,yfinance,-2.752349,0.428571,3
-22.26074,0,middle,2026-04-19T14:00:00Z,2026-04-28T08:00:00Z,0.8,4,5,yfinance,-111.303701,0.2,1
