path,writes_canonical_intake,proposes_sidecars,sha256
docs/experiments/actionable-regime-confidence/runs/20260511T151950-codex-direct-manipulation-row-intake-manifest-v1/scripts/direct_manipulation_row_intake_manifest_v1.py,True,False,3483f7f660f140b23303cb2682d91e8d3c6b20119804820aaa1a32a120f89b2a
docs/experiments/actionable-regime-confidence/runs/20260511T181211-codex-direct-manipulation-local-intake-probe-v1/scripts/direct_manipulation_local_intake_probe_v1.py,True,False,f9c5bc5fe51f014188a0cf155ec8c8bee13f954f843c48e55e9ead9855a2748d
docs/experiments/actionable-regime-confidence/runs/20260511T185209-codex-board-a-local-acquisition-ledger-v1/scripts/board_a_local_acquisition_ledger_v1.py,True,False,ef1712463c79a168a8582156cc45248a951d7150c34dc11ea34cd2630c4138e6
docs/experiments/actionable-regime-confidence/runs/20260511T193301-codex-direct-manipulation-intake-verifier-readback-v1/scripts/direct_manipulation_intake_verifier_readback_v1.py,True,False,92b2e967c460aeddcfd843cd8fe5ac08ca599b07ea0d2023d7f49020f5edc389
docs/experiments/actionable-regime-confidence/runs/20260511T193804-codex-board-a-intake-file-presence-rescan-v1/scripts/board_a_intake_file_presence_rescan_v1.py,True,False,f0c0c6c8ac7038eedd3ec962fa927a600b6a99f06b1d90231cf9aa0b8c605bb6
docs/experiments/actionable-regime-confidence/runs/20260511T195728-codex-strict-objective-acquisition-contract-v1/scripts/strict_objective_acquisition_contract_v1.py,True,False,a859491ffbe12bbbbf4de5d9bb58989778e261de047b6890574f28f566cf9667
docs/experiments/actionable-regime-confidence/runs/20260511T201352-codex-do-putnins-owner-request-package-v1/scripts/do_putnins_owner_request_package_v1.py,True,False,6c7754f7f5025e1ebabba2aa3c41d84e8ceb89cc19bab877f1c561124557a6e5
docs/experiments/actionable-regime-confidence/runs/20260511T203045-codex-current-goal-completion-audit-v32-live-intake-root-recheck/scripts/current_goal_completion_audit_v32_live_intake_root_recheck.py,True,False,3e463c5e9d9c31660fb76a2156f2001dbdc72fc0cc7a2367945a271d479df1e8
docs/experiments/actionable-regime-confidence/runs/20260511T203339-codex-current-goal-completion-audit-v32-after-r2-r3-request-packages/scripts/current_goal_completion_audit_v32_after_r2_r3_request_packages.py,True,False,c54e5882432970151d12047762e350e0887bc76c48583b8968149e3e13f4047f
docs/experiments/actionable-regime-confidence/runs/20260511T203437-codex-required-intake-disk-sweep-v1/scripts/required_intake_disk_sweep_v1.py,True,False,d2a74dffde82b14cf4b7f4c2e3aacab125994405eb63fd08ad26776a3ef740c3
docs/experiments/actionable-regime-confidence/runs/20260511T203523-codex-direct-manipulation-species-request-matrix-v1/scripts/direct_manipulation_species_request_matrix_v1.py,True,False,9255aee61af1ce97766140f3f38bf8ca39ab593cf8495fa5fc587be5b11eb150
docs/experiments/actionable-regime-confidence/runs/20260511T203804-codex-current-goal-completion-audit-v33-after-r3-r6-contact-matrices/scripts/current_goal_completion_audit_v33_after_r3_r6_contact_matrices.py,True,False,a2b6030deb2bf10d5398fd4e56f0a1b85c42717341c8caa8b32f8c6ccd82a2a7
docs/experiments/actionable-regime-confidence/runs/20260511T203817-codex-current-goal-completion-audit-v34-after-request-matrices/scripts/current_goal_completion_audit_v34_after_request_matrices.py,True,False,9612ac2c163aeb2527cc807ae56886f37dc24d170a6ee978a4536e2fecb52ee6
docs/experiments/actionable-regime-confidence/runs/20260511T204131-codex-source-acquisition-outbox-v1/scripts/source_acquisition_outbox_v1.py,True,False,d3e0d26b57e57e0dacdcc8a06431cdc7db1f95e1e922cb12706d5e5f29a830e7
docs/experiments/actionable-regime-confidence/runs/20260511T204335-codex-current-goal-completion-audit-v35-after-source-outbox/scripts/current_goal_completion_audit_v35_after_source_outbox.py,True,False,8fa9a92b29da4ab220d30898f04b7aec8879ea9ffa0a38f340ff4c6a2a7513c9
