path,name,bytes,sha256
docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,40082,6fdb52467d1c4f9e12d30e233a9a28806ee579d80872645fa1e238be3bd69a4a
docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,40547,88ae4cb6b3f9d638a4c798e2c939b00aba07bb12c425c3590634f1a217ffa0c6
docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,6037,b5931c245f0c71f067b9d185ff97c5057bb1b0c3ec12a21ee5950894ce64e9ba
docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,13428,dd0312dbdc5bd5b0b027a05cc76c2ca4b0ac4495b42badc7c648e611fc2fc6ab
docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,13939,b5349cdbda4e85f9fb5db1977e8be0a8b7a0cdeaf619f275c15238b226320550
docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/provenance_manifest.json,provenance_manifest.json,939,f25e79bac1ce1fd6f1ad8f2ea9683a6cdba793a3cb18fe9459126cb774b2002b
docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,d81b8253888d5d68e484679d221640e0f3bee5f4bf6b8e42e14f9d53b53f7e2d
docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,ef9f912b5b0a56f85b21c1355c64c2b443d60ebacbb70a0f195de89b223c9ac6
docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,6572,dab98802cca2f2f9cd411e41ba8e3c561e05692aec6c8e342da48f13fa5d00c8
docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58689,08b9099fe9ce94da2a833556adfbb05aa8b29fbc21a82380910bed27a58e09f9
docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58949,6d52ddca652e68165aec9d0fa407c0177b96fa2ea0a5b7f8069f32119eb0caca
docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,1554,fa41262b011c885ac469a7fcba3adaf52fdb30854af1c4a012e48061a9ec46c9
