path,size_bytes,mtime_utc,header_sample,disposition,r3_exact_filename_or_schema_hit,reason
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/.github/labels.json,1703,2026-04-26T00:38:57.488352+00:00,[,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/.github/workflows/sync-labels.yml,1956,2026-04-26T00:38:57.490631+00:00,,blocked_price_or_feature_panel_not_source_owned_labels,False,Header looks like prices/features rather than source-owned labels.
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/akshare_alternative.py,10275,2026-04-26T00:38:57.623213+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/alternative_me_data.py,4191,2026-04-26T00:38:57.633673+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/FutureOptionBuySellCallIntradayRegressionAlgorithm.py,1832,2026-04-26T00:38:57.699888+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/IndexOptionBuySellCallIntradayRegressionAlgorithm.py,3706,2026-04-26T00:38:57.703878+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/alphas/IntradayReversalCurrencyMarketsAlpha.py,5053,2026-04-26T00:38:57.724723+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/ictscripts/ICT Market Regime Detector,68553,2026-04-10T08:39:28.401946+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/AutoHedge/.github/labeler.yml,1587,2026-04-14T03:01:28.100841+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/AutoHedge/.github/workflows/label.yml,543,2026-04-14T03:01:28.101330+00:00,,blocked_price_or_feature_panel_not_source_owned_labels,False,Header looks like prices/features rather than source-owned labels.
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/apps/desktop/components/ui/label.tsx,499,2026-04-08T13:18:19.085558+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/llm-adapter/tests/test_native_tool_calling.py,14985,2026-04-08T13:18:19.171820+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/security-gateway/pnlclaw_security/guardrails/regime_mismatch.py,6937,2026-04-08T13:18:19.182324+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/security-gateway/tests/test_guardrail_regime_mismatch.py,5771,2026-04-08T13:18:19.184231+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/rowan/references/rdkit_native.md,10756,2026-04-16T10:09:05.137190+00:00,# Rowan RDKit-Native API Reference,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/config/native-specialist-execution-policy.json,3325,2026-04-16T10:09:05.240771+00:00,{,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/superpowers/plans/2026-04-07-native-mcp-first-install-contract.md,11566,2026-04-16T10:09:05.298504+00:00,# Native MCP-First Install Contract Implementation Plan,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/superpowers/specs/2026-04-07-native-mcp-first-install-contract-design.md,13280,2026-04-16T10:09:05.302531+00:00,# Native MCP-First Install Contract Design,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/scripts/runtime/native_specialist_runner.py,2254,2026-04-16T10:09:05.355114+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/tests/integration/test_native_mcp_first_install_docs.py,2146,2026-04-16T10:09:05.389719+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/tests/runtime_neutral/test_l_xl_native_execution_topology.py,67188,2026-04-16T10:09:05.398777+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/tests/runtime_neutral/test_native_specialist_failure_injection.py,11844,2026-04-16T10:09:05.400041+00:00,,blocked_no_r3_native_subhour_source_label_schema,False,"Path matched broad keywords, but no exact R3 intake filename or source-owned label schema was found."
/Users/thrill3r/Downloads/repo-intake/cognee/.github/workflows/label-core-team.yml,2354,2026-04-19T10:12:06.179354+00:00,,blocked_price_or_feature_panel_not_source_owned_labels,False,Header looks like prices/features rather than source-owned labels.
