provider,instrument,timeframe,root,missing_or_rejected_reason,candidate_source_ticker_rejected_or_missing,candidate_source_relation,required_label_source,forbidden_proxy_sources
yfinance,CL=F,1m,Bull,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,CL=F,1m,Bear,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,CL=F,1m,Sideways,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,CL=F,1m,Crisis,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,DIA,1m,Bull,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,DIA,1m,Bear,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,DIA,1m,Sideways,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,DIA,1m,Crisis,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,ES=F,1m,Bull,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,ES=F,1m,Bear,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,ES=F,1m,Sideways,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,ES=F,1m,Crisis,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,GC=F,1m,Bull,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,GC=F,1m,Bear,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
yfinance,GC=F,1m,Sideways,missing_intraday_or_monthly_source_label,,none,independent_source_backed_root_label,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label
