regime_id,passes_95,passes_99,rule,cal_support,cal_success,cal_wilson95,test_support,test_success,test_wilson95,test_ece,test_coverage,test_contexts,test_markets,test_timeframes,blocker
TrendExpansion,False,False,realized_vol_rank_252 >= 0.6071428571 AND jump_intensity_32 <= 0.03125,232,67,0.23429094034285017,191,49,0.19983486757768276,0.032248600830474816,0.06396517079705291,4,4,2,wilson95_below_0_95
TrendExpansion,False,False,trend_condition_persistence_32 <= 0.03125 AND range_rank_252 >= 0.4880952381,111,35,0.2362888134188184,98,30,0.2236265981656448,0.00919286633572347,0.03281982585398526,4,4,2,calibration_support_below_120;wilson95_below_0_95
TrendExpansion,False,False,jump_intensity_32 <= 0 AND ma32_slope_16 <= 0.001734245737,281,76,0.2218803894185971,220,70,0.26020551195560204,0.047719184729860864,0.07367716008037509,4,4,2,wilson95_below_0_95
TrendExpansion,False,False,jump_intensity_32 >= 0.1875 AND trend_condition_persistence_32 <= 0.3125,72,27,0.2721917834183841,78,35,0.3433437231709859,0.07371794871794873,0.026121902210314803,4,4,2,calibration_support_below_120;wilson95_below_0_95;ece_above_0_05;coverage_below_0_03
TrendExpansion,False,False,trend_condition_persistence_32 <= 0.375 AND jump_intensity_32 <= 0,190,39,0.15394683802168074,182,44,0.18530911631541072,0.03649508386350492,0.06095110515740121,4,4,2,wilson95_below_0_95
ExtremeStress,False,False,range_accel_16_64 >= 0.4146110306 AND drawdown_from_32_high <= -0.01265267616,126,22,0.1182265752111826,86,40,0.3634587154004887,0.29051310446659284,0.028801071667782986,3,3,1,wilson95_below_0_95;ece_above_0_05;coverage_below_0_03;cross_market_timeframe_support_below_2
ExtremeStress,False,False,range_accel_16_64 >= 0.4146110306 AND drawdown_from_32_high <= -0.01042517897,152,26,0.11948758336532712,100,43,0.33733298524110106,0.2589473684210526,0.033489618218352314,4,4,2,wilson95_below_0_95;ece_above_0_05
ExtremeStress,False,False,condition_extreme_stress == true AND range_accel_16_64 >= 0.4146110306 AND down_jump_intensity_32 >= 0.0625,166,19,0.07451044375765449,151,47,0.242862797330309,0.19680044682039416,0.05056932350971199,4,4,2,wilson95_below_0_95;ece_above_0_05
ExtremeStress,False,False,condition_extreme_stress == true AND range_accel_16_64 >= 0.4146110306 AND drawdown_from_32_high <= -0.01265267616,121,20,0.1096228742230955,76,37,0.3778372877915117,0.3215528490648108,0.025452109845947757,3,3,1,wilson95_below_0_95;ece_above_0_05;coverage_below_0_03;cross_market_timeframe_support_below_2
ExtremeStress,False,False,range_accel_16_64 >= 0.4146110306 AND drawdown_from_32_high <= -0.01512274213,111,19,0.11240946764147157,79,37,0.36235784156577755,0.2971832592085757,0.026456798392498326,3,3,1,calibration_support_below_120;wilson95_below_0_95;ece_above_0_05;coverage_below_0_03;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,ma32_slope_16 <= -0.006138442835 AND stress_persistence_32 >= 0.625,94,37,0.30089893259000317,124,57,0.37449018241529064,0.06606039807824293,0.041527126590756865,3,3,1,calibration_support_below_120;wilson95_below_0_95;ece_above_0_05;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,ma32_slope_16 <= -0.002335392392 AND stress_persistence_32 >= 0.625,207,60,0.2323244306657923,164,69,0.34783761820670867,0.13087663485330503,0.05492297387809779,4,4,2,wilson95_below_0_95;ece_above_0_05
ReversalBrewing,False,False,ma32_slope_16 <= -0.003974442145 AND stress_persistence_32 >= 0.625,162,52,0.2539599604684041,145,62,0.3499540537882163,0.10659855257556411,0.04855994641661085,3,3,1,wilson95_below_0_95;ece_above_0_05;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,ma32_slope_16 <= -0.006138442835 AND ret_1 <= -0.001389950881,82,35,0.3254194886306333,195,76,0.32405415369061147,0.03708567854909317,0.065304755525787,3,3,1,calibration_support_below_120;wilson95_below_0_95;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,ma32_slope_16 <= -0.006138442835 AND stretch_32 <= 0.001763644036,217,89,0.3468119136334924,378,147,0.3410972461231302,0.021249359959037373,0.12659075686537175,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
