check,value,decision
board_hash_before_artifact,3c7c31248bbb145cd327b1614b888786e9f7158131b7ff1250ca1a494c5fd7a2,observed
r6_owner_export_root_present,false,no_unlock
r6_approval_package_present,true,read
r6_approval_present,false,no_merge
r6_canonical_merge_allowed_now,false,no_merge
r5_recency_root_present,false,no_unlock
known_r5_rows_after_cutoff,0,no_unlock
r3_native_subhour_root_present,true,present_non_promoting
r3_crisis_present,false,no_unlock
source_label_equivalence_target_present,false,no_unlock
accepted_rows_added,0,blocked
valid_required_root_unlock,false,blocked
source_control_evidence_acquired,false,blocked
update_goal,false,blocked
