source_path,dest_path,source_sha256,dest_sha256
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/agent-material/ob-fvg-branch-matrix-binance-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/agent-material/ob-fvg-branch-matrix-binance-1h-v1.material.json,02ef34c3375fb36b985b1dd9f0e61a2093ab41594c02d5d695d75997c413708a,a2a5a1dbc63f52fc967b3d14df70d08cf478595e17086d5a77ab965349d19d4b
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/data/normalized/binance_btcusdt_1h.normalized.csv,c6769f648701ad54530944f51be2a2e758f8f678652063d4dc56d539770475e3,c6769f648701ad54530944f51be2a2e758f8f678652063d4dc56d539770475e3
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/agent-material/ob-fvg-branch-matrix-bybit-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/agent-material/ob-fvg-branch-matrix-bybit-1h-v1.material.json,d9ce9fbd9e9973d670d16eeff7a52b7d8b80d819f2fc350eee07d19427a39311,18280a6741b87bbae781155f4ca5e47fc1eca8a5dbc115b8e0b7b03a20532679
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/agent-material/ob-fvg-branch-matrix-ibkr-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/agent-material/ob-fvg-branch-matrix-ibkr-1h-v1.material.json,05081b31d0f8603b8c687ece38560fddb339c35ece2a56abd0fc98ed809dbace,fcaef8253d15067850217df145123a72ddbd4df7b26a96d32094e38e60ca2538
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,6ff7f9be462ff33f816a3a98e772f903dc484e7e0733b3d7968be5f97c0e535c,6ff7f9be462ff33f816a3a98e772f903dc484e7e0733b3d7968be5f97c0e535c
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/agent-material/ob-fvg-branch-matrix-kraken-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/agent-material/ob-fvg-branch-matrix-kraken-1h-v1.material.json,4aa89bd6155db5e19d11046670906e636c942d8f335f99f1cd42c5b1c670eaad,94ec34f77ff647eedbb9a1575bed15ec6e71e84465952202ab22808c3d8fb943
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,9989847d8c88640402f5d99211326f5060a4dd9857d87dc340269abe8311f111,9989847d8c88640402f5d99211326f5060a4dd9857d87dc340269abe8311f111
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/agent-material/ob-fvg-branch-matrix-tvr-btc-usd-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/agent-material/ob-fvg-branch-matrix-tvr-btc-usd-1h-v1.material.json,e1c016dc25c229ef3ac6475127def21b37b6c205eec56de66295ce34a8a3d453,38091e035b2e87155337f991b432095b151b58289a85eb0eb650f0afd1cdd39e
docs/experiments/actionable-regime-confidence/runs/20260512T165122+0800-codex-ob-fvg-branch-matrix-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,docs/experiments/actionable-regime-confidence/runs/20260512T172108+0800-codex-ob-fvg-aq-workspace-layout-repair-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,f1c696e7a8edf24fb2372b9e3bac9181cd272661509e03bb5cb2badaa1ac60ff,f1c696e7a8edf24fb2372b9e3bac9181cd272661509e03bb5cb2badaa1ac60ff
