split_family,split_name,positive_support,negative_support,required_positive_rows,required_negative_rows,positive_rows_needed,negative_control_rows_needed,combined_rows_needed,current_min_wilson95_lcb,current_support_ok,current_wilson_ok,current_pass,accepted_source_type,nonaccepted_shortcuts
chronological_group_split,chronological_calibration,18,18,73,73,55,55,110,0.824115449418,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
chronological_group_split,chronological_test,19,19,73,73,54,54,108,0.831815634632,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
chronological_group_split,chronological_train,40,40,73,73,33,33,66,0.91237546075,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"10-Year T-Note Futures contract, December 2011 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"10-Year T-Note Futures contract, March 2010 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,CBOT soybean call options,0,2,73,73,73,71,144,0.0,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,COMEX Silver Futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,COMEX copper futures,0,2,73,73,73,71,144,0.0,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
