id,doi,url,title,publication_date,file_count,required_filename_hits,downloaded_profile_count,gate
10728401,10.5281/zenodo.10728401,,Transparency through community-led open infrastructure: a pathway to trust,2024-02-20,1,,0,no_required_owner_export_or_controls
16629490,10.5281/zenodo.16629490,,Online appendix C,2025-07-31,1,,1,no_required_owner_export_or_controls
18184441,10.5281/zenodo.18184441,,An Open Book: Level 4 Order Book Data from the Hyperliquid Exchange,2026-03-25,15,,0,no_required_owner_export_or_controls
17860328,10.5281/zenodo.17860328,,SARSpoof: A South Asian Face Anti-Spoofing Dataset,2024-05-07,0,,0,no_required_owner_export_or_controls
18667008,10.5281/zenodo.18667008,,High-Frequency Market Microstructure Analysis using Transformer-Encoder Networks (TEN) and Graph Neural Networks (GNN) for Detecting Algorithmic Spoofing,2026-01-04,1,,0,no_required_owner_export_or_controls
8142775,10.5281/zenodo.8142775,,Open Book Futures: Working together to Build Community-owned Infrastructures for OA books,2023-07-13,1,,0,no_required_owner_export_or_controls
19848030,10.21983/P3.0262.1.00,,"Anglo-Saxon(ist) Pasts, postSaxon Futures",2026-04-28,2,,0,no_required_owner_export_or_controls
19540979,10.5281/zenodo.19540979,,AI Deepfake audio detection using CNNs (Real Talk),2026-04-12,1,,0,no_required_owner_export_or_controls
15687293,10.5281/zenodo.15687293,,Rob_BeiD_Spo_Def_UAV_Swms,2025-06-18,2,,0,no_required_owner_export_or_controls
8348262,10.5281/zenodo.8348262,,Thoth Open Metadata - a Community-led Open Metadata Management and Distribution Service for Open Access Books,2023-09-15,1,,0,no_required_owner_export_or_controls
