schema_version,run_id,recipe_id,parent_regime_root,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,variant_id,take_profit,stop_loss,positive_rows,control_rows,monthly_folds,positive_mean_net,control_mean_net,positive_minus_control_net,positive_lcb_5pct,positive_minus_control_lcb_5pct,fold_positive_rate_absolute,fold_positive_rate_vs_control,roundtrip_cost,gate_result
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl040_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl040_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl040_h24,0.06,0.04,13535,7149,12,-0.00010748350525056963,-0.004386102023051777,0.004278618517801207,-0.0006696882228602738,0.0033597381808200717,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_no_positive_absolute_edge_after_cost|reject_absolute_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl050_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl050_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl050_h24,0.06,0.05,13535,7149,12,0.0005004235869845664,-0.003432828110219542,0.003933251697204108,-0.00010277131949236711,0.0029535789374960635,0.6666666666666666,0.5,0.0015,fail:reject_absolute_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl060_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl060_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl060_h24,0.06,0.06,13535,7149,12,0.0007525868322395631,-0.0030720834756342956,0.003824670307873859,0.00012190097517343146,0.002804763485303844,0.6666666666666666,0.4166666666666667,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl040_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl040_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl040_h24,0.08,0.04,13535,7149,12,0.0004892572052133156,-0.003415565878036289,0.0039048230832496042,-0.00012682184311109846,0.002897575756740198,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_absolute_lcb_nonpositive|reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl050_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl050_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl050_h24,0.08,0.05,13535,7149,12,0.0009793237042331159,-0.0023293029765787984,0.003308626680811914,0.0003204351387896937,0.00223588087089385,0.6666666666666666,0.3333333333333333,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl060_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl060_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl060_h24,0.08,0.06,13535,7149,12,0.0013072460689557861,-0.0020301200031451155,0.0033373660721009017,0.0006183323486393243,0.0022226725388729872,0.75,0.3333333333333333,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl040_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl040_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl040_h24,0.1,0.04,13535,7149,12,0.0012127029735482825,-0.0030890902942424118,0.004301793267790694,0.0005481012799967722,0.003225510632508951,0.6666666666666666,0.5,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl050_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl050_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl050_h24,0.1,0.05,13535,7149,12,0.0017589894265096272,-0.002130460757231903,0.00388945018374153,0.0010492749260616865,0.002745763015760118,0.6666666666666666,0.3333333333333333,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl060_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl060_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl060_h24,0.1,0.06,13535,7149,12,0.001952106321917532,-0.0017875384368356425,0.0037396447587531743,0.0012129057072365788,0.002553026216938695,0.75,0.4166666666666667,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl040_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl040_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl040_h24,0.12,0.04,13535,7149,12,0.001387814400230365,-0.002932621462968564,0.004320435863198929,0.0006936916759501299,0.003193789639357422,0.75,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
