provider,query_slug,target,query,status,error,parse_error,top_record_count,total_count,required_filename_hit,owner_hit,mainregime_hit,r3_hit,crisis_context_hit,r5_hit,r6_hit,top_records,url,note
grep_app,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22MainRegimeV2%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22MainRegimeV2%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22MainRegimeV2%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=MainRegimeV2,Project metadata only; no authenticated blob search.
grep_app,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22MainRegimeV2%22+%22Crisis%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22MainRegimeV2%22+%22Crisis%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22MainRegimeV2%22+%22Crisis%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=MainRegimeV2+Crisis,Project metadata only; no authenticated blob search.
grep_app,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22native_subhour_source_label_rows%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22native_subhour_source_label_rows%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
