path,classification,needs_manual_review,size_bytes,sha256,decision,reason
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,modern_or_sample_market_data,False,927819291,05951580ce359e1877d53619a9de7adbca352ea0ae309dfe3085dfac6e96d1cc,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,metadata_only,False,4267811,ae27f727d0ddae1d878abeb08495ce1bba150f5b17b57bddfce6443e5ec28b41,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,metadata_only,False,56948,d1b227f2b25abaee894f0f4ffcff19edfeabf516c16ac61e916046688b673923,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/glbx-mdp3-20150101-20251231.ohlcv-1m.csv,modern_or_sample_market_data,False,539544466,95448a5e9ceb567e9041041f6d5eb40401d4e0a1e29fb5ec886eb2c9c015aace,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,metadata_only,False,8273022,20d2d9c22b22c4c7a6fe1602d5ca0dc916eecbf444a192c6ab5eecec78202220,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,metadata_only,False,159781,246d3e564999996a9fdc85e2a34af13c8798d940f325dff90f7270281dde7afb,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/glbx-mdp3-20210106-20260105.ohlcv-1m.csv,modern_or_sample_market_data,False,585690521,3e566d0c7181c6fbddf80be1ec7fbb33987240a6aa495caa27b275d034fa174d,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,metadata_only,False,30984640,ab1c0a090a878ade44a5f682bc7597cc85eba677ea34dd2daf06b5931058e9e3,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,metadata_only,False,1324648,734acc8aadf794aa7c8c2872a4c8949866aa46e3cf3182ff2590bfce94922ea6,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,modern_or_sample_market_data,False,787648781,fa9d957e2f5735ff185e1a00ca34fdc750b65f1a9f1aef649d8ac26c2a87825f,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,metadata_only,False,3560949,3bf1002548abd3a704d1a494b270dbd9c5bd67c1f6ef8cd979472ed989702b4b,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json,metadata_only,False,54038,d46fdf3759a621f6585c78e1c9271006840f733c9c26169b14872d296459e1bf,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/glbx-mdp3-20110101-20251231.ohlcv-1m.csv,modern_or_sample_market_data,False,688693827,9b02d654c55046bb85617b80a05be918a0a915aaeb00296af6e0e8d57b196a94,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,metadata_only,False,3201374,a020a55e290a6bc45a9ca8e4a0d80b3b9a90d8bbd57c6db4e7fe9254189f8ad8,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json,metadata_only,False,55943,1c890cbd7d70f6c9164db04d494f5c6fedea1d34860ab72a9fa47f7ac570d0c5,reject_for_current_contract,symbology metadata is not row-level order-lifecycle normal-control evidence
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/build_akshare_symbols_db.py,modern_or_sample_market_data,False,8977,26404be3d4e3002e6599d1dfb1821ddf580443e51d82292f4f8c1d647ba8c872,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/cboe_vix_data.py,route_or_filename_noise,False,4952,58806497a1af04c42a4e1248faa2712cbcfa43aade655b219bb36da5ae3d003d,reject_for_current_contract,route/product filename does not establish source-owned normal-control rows
/Users/thrill3r/Downloads/hermes-memory-eval/TradingView-API/examples/MultipleSyncFetch.js,route_or_filename_noise,False,1148,f4843088d37058261c59246f627f9a15190ec2ab879ecd5d78a6e467b4cb22f3,reject_for_current_contract,route/product filename does not establish source-owned normal-control rows
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/keybd_closed_cb_900cfef5.png,route_or_filename_noise,False,9004,7d9bf8ae66370e4349b4f423ac5279501384e4374da1fde675e099582ed33a8a,reject_for_current_contract,route/product filename does not establish source-owned normal-control rows
/Users/thrill3r/nautilus_trader/tests/test_data/databento/esh4-glbx-mdp3-20231224.mbo.dbn.zst,modern_or_sample_market_data,False,53814,f186e479ad0c381c40ef35384c4125d2088fb11f4ac31b0558da3fdaadb0317c,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/nautilus_trader/tests/test_data/databento/esh4-glbx-mdp3-20231225.mbo.dbn.zst,modern_or_sample_market_data,False,997238,04597c542c1f0a9d0f6c5e8b73c7624db67d978061b42742b86e09ae608c0bc5,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/Users/thrill3r/nautilus_trader/tests/test_data/databento/order_book_deltas_catalog/databento/orderbooks_mbo_2024-05-08T00-00-00_2024-05-08T00-00-02.dbn.zst,modern_or_sample_market_data,False,183688,c1fa0e237978fddf325f3b67830635aeecfe89bb8c64eb63e9cdf71a2cdee56a,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
