method,status,url,storage_name,docket_entry,subdocument,content_length,content_type,elapsed_ms,error,body_prefix
GET,401,https://www.courtlistener.com/api/rest/v4/dockets/?docket_number=1%3A15-cv-09196,,,,58,application/json,570.9,Unauthorized,"{""detail"":""Authentication credentials were not provided.""}"
GET,403,https://www.courtlistener.com/docket/4350132/commodity-futures-trading-commission-v-3-red-trading-llc/,,,,919,text/html,523.9,Forbidden,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TI"
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.0.pdf,gov.uscourts.ilnd.316889.2.0.pdf,2,0,,application/xml,726.0,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.3.1.pdf,gov.uscourts.ilnd.316889.3.1.pdf,3,1,,application/xml,722.1,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.3.pdf,gov.uscourts.ilnd.316889.2.3.pdf,2,3,,application/xml,736.6,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.3.3.pdf,gov.uscourts.ilnd.316889.3.3.pdf,3,3,,application/xml,726.9,Not Found,
HEAD,200,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,gov.uscourts.ilnd.316889.1.1.pdf,1,1,1132071,application/pdf,802.9,,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.3.0.pdf,gov.uscourts.ilnd.316889.3.0.pdf,3,0,,application/xml,749.4,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.3.2.pdf,gov.uscourts.ilnd.316889.3.2.pdf,3,2,,application/xml,747.4,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.2.pdf,gov.uscourts.ilnd.316889.2.2.pdf,2,2,,application/xml,773.6,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.4.2.pdf,gov.uscourts.ilnd.316889.4.2.pdf,4,2,,application/xml,757.7,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.2.1.pdf,gov.uscourts.ilnd.316889.2.1.pdf,2,1,,application/xml,832.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.2.pdf,gov.uscourts.ilnd.316889.1.2.pdf,1,2,,application/xml,1038.0,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.3.pdf,gov.uscourts.ilnd.316889.1.3.pdf,1,3,,application/xml,1038.7,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.6.2.pdf,gov.uscourts.ilnd.316889.6.2.pdf,6,2,,application/xml,739.0,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.6.1.pdf,gov.uscourts.ilnd.316889.6.1.pdf,6,1,,application/xml,750.7,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.6.0.pdf,gov.uscourts.ilnd.316889.6.0.pdf,6,0,,application/xml,755.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.5.0.pdf,gov.uscourts.ilnd.316889.5.0.pdf,5,0,,application/xml,817.8,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.6.3.pdf,gov.uscourts.ilnd.316889.6.3.pdf,6,3,,application/xml,744.1,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.5.1.pdf,gov.uscourts.ilnd.316889.5.1.pdf,5,1,,application/xml,786.0,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.4.3.pdf,gov.uscourts.ilnd.316889.4.3.pdf,4,3,,application/xml,1508.2,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.7.1.pdf,gov.uscourts.ilnd.316889.7.1.pdf,7,1,,application/xml,713.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.4.0.pdf,gov.uscourts.ilnd.316889.4.0.pdf,4,0,,application/xml,1521.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.4.1.pdf,gov.uscourts.ilnd.316889.4.1.pdf,4,1,,application/xml,1545.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.7.3.pdf,gov.uscourts.ilnd.316889.7.3.pdf,7,3,,application/xml,744.5,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.7.2.pdf,gov.uscourts.ilnd.316889.7.2.pdf,7,2,,application/xml,763.2,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.5.3.pdf,gov.uscourts.ilnd.316889.5.3.pdf,5,3,,application/xml,1022.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.5.2.pdf,gov.uscourts.ilnd.316889.5.2.pdf,5,2,,application/xml,1029.1,Not Found,
HEAD,200,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,gov.uscourts.ilnd.316889.1.0.pdf,1,0,381634,application/pdf,2086.7,,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.9.2.pdf,gov.uscourts.ilnd.316889.9.2.pdf,9,2,,application/xml,738.2,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.7.0.pdf,gov.uscourts.ilnd.316889.7.0.pdf,7,0,,application/xml,1496.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.8.2.pdf,gov.uscourts.ilnd.316889.8.2.pdf,8,2,,application/xml,763.5,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.9.0.pdf,gov.uscourts.ilnd.316889.9.0.pdf,9,0,,application/xml,760.7,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.10.2.pdf,gov.uscourts.ilnd.316889.10.2.pdf,10,2,,application/xml,802.7,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.10.3.pdf,gov.uscourts.ilnd.316889.10.3.pdf,10,3,,application/xml,795.3,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.8.0.pdf,gov.uscourts.ilnd.316889.8.0.pdf,8,0,,application/xml,1046.1,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.9.1.pdf,gov.uscourts.ilnd.316889.9.1.pdf,9,1,,application/xml,1031.3,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.10.0.pdf,gov.uscourts.ilnd.316889.10.0.pdf,10,0,,application/xml,1019.3,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.8.1.pdf,gov.uscourts.ilnd.316889.8.1.pdf,8,1,,application/xml,1237.6,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.11.0.pdf,gov.uscourts.ilnd.316889.11.0.pdf,11,0,,application/xml,1007.0,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.11.1.pdf,gov.uscourts.ilnd.316889.11.1.pdf,11,1,,application/xml,1018.5,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.12.1.pdf,gov.uscourts.ilnd.316889.12.1.pdf,12,1,,application/xml,703.8,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.11.2.pdf,gov.uscourts.ilnd.316889.11.2.pdf,11,2,,application/xml,956.1,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.11.3.pdf,gov.uscourts.ilnd.316889.11.3.pdf,11,3,,application/xml,803.8,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.8.3.pdf,gov.uscourts.ilnd.316889.8.3.pdf,8,3,,application/xml,1562.6,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.12.0.pdf,gov.uscourts.ilnd.316889.12.0.pdf,12,0,,application/xml,803.9,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.13.3.pdf,gov.uscourts.ilnd.316889.13.3.pdf,13,3,,application/xml,607.5,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.12.3.pdf,gov.uscourts.ilnd.316889.12.3.pdf,12,3,,application/xml,625.6,Not Found,
HEAD,404,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.13.1.pdf,gov.uscourts.ilnd.316889.13.1.pdf,13,1,,application/xml,716.3,Not Found,
