year,split,root,daily_rows,covered
2000,train_2000_2015,Bull,2906,true
2000,train_2000_2015,Bear,1689,true
2000,train_2000_2015,Sideways,1842,true
2000,train_2000_2015,Crisis,2121,true
2001,train_2000_2015,Bull,1983,true
2001,train_2000_2015,Bear,2848,true
2001,train_2000_2015,Sideways,1365,true
2001,train_2000_2015,Crisis,2236,true
2002,train_2000_2015,Bull,1335,true
2002,train_2000_2015,Bear,3356,true
2002,train_2000_2015,Sideways,1445,true
2002,train_2000_2015,Crisis,2585,true
2003,train_2000_2015,Bull,3776,true
2003,train_2000_2015,Bear,1748,true
2003,train_2000_2015,Sideways,1628,true
2003,train_2000_2015,Crisis,1668,true
2004,train_2000_2015,Bull,4296,true
2004,train_2000_2015,Bear,1593,true
2004,train_2000_2015,Sideways,2283,true
2004,train_2000_2015,Crisis,742,true
2005,train_2000_2015,Bull,3547,true
2005,train_2000_2015,Bear,1988,true
2005,train_2000_2015,Sideways,2969,true
2005,train_2000_2015,Crisis,568,true
2006,train_2000_2015,Bull,4431,true
2006,train_2000_2015,Bear,1593,true
2006,train_2000_2015,Sideways,2307,true
2006,train_2000_2015,Crisis,705,true
2007,train_2000_2015,Bull,4083,true
2007,train_2000_2015,Bear,1856,true
2007,train_2000_2015,Sideways,2650,true
2007,train_2000_2015,Crisis,447,true
2008,train_2000_2015,Bull,1361,true
2008,train_2000_2015,Bear,4327,true
2008,train_2000_2015,Sideways,1271,true
2008,train_2000_2015,Crisis,2149,true
2009,train_2000_2015,Bull,2940,true
2009,train_2000_2015,Bear,1723,true
2009,train_2000_2015,Sideways,1228,true
2009,train_2000_2015,Crisis,3181,true
2010,train_2000_2015,Bull,4201,true
2010,train_2000_2015,Bear,2022,true
2010,train_2000_2015,Sideways,1925,true
2010,train_2000_2015,Crisis,1052,true
2011,train_2000_2015,Bull,3603,true
2011,train_2000_2015,Bear,2246,true
2011,train_2000_2015,Sideways,2185,true
2011,train_2000_2015,Crisis,1290,true
2012,train_2000_2015,Bull,4384,true
2012,train_2000_2015,Bear,1633,true
2012,train_2000_2015,Sideways,2382,true
2012,train_2000_2015,Crisis,1003,true
2013,train_2000_2015,Bull,5931,true
2013,train_2000_2015,Bear,759,true
2013,train_2000_2015,Sideways,2562,true
2013,train_2000_2015,Crisis,576,true
2014,train_2000_2015,Bull,5121,true
2014,train_2000_2015,Bear,1412,true
2014,train_2000_2015,Sideways,2999,true
2014,train_2000_2015,Crisis,296,true
2015,train_2000_2015,Bull,4020,true
2015,train_2000_2015,Bear,2341,true
2015,train_2000_2015,Sideways,3006,true
2015,train_2000_2015,Crisis,461,true
2016,calibration_2016_2021,Bull,4422,true
2016,calibration_2016_2021,Bear,2068,true
2016,calibration_2016_2021,Sideways,2636,true
2016,calibration_2016_2021,Crisis,702,true
2017,calibration_2016_2021,Bull,5760,true
2017,calibration_2016_2021,Bear,1211,true
2017,calibration_2016_2021,Sideways,2587,true
2017,calibration_2016_2021,Crisis,231,true
2018,calibration_2016_2021,Bull,4299,true
2018,calibration_2016_2021,Bear,2520,true
2018,calibration_2016_2021,Sideways,2512,true
2018,calibration_2016_2021,Crisis,458,true
2019,calibration_2016_2021,Bull,4700,true
2019,calibration_2016_2021,Bear,1888,true
2019,calibration_2016_2021,Sideways,2438,true
2019,calibration_2016_2021,Crisis,802,true
2020,calibration_2016_2021,Bull,4710,true
2020,calibration_2016_2021,Bear,1937,true
2020,calibration_2016_2021,Sideways,1556,true
2020,calibration_2016_2021,Crisis,1664,true
2021,calibration_2016_2021,Bull,5414,true
2021,calibration_2016_2021,Bear,1330,true
2021,calibration_2016_2021,Sideways,2675,true
2021,calibration_2016_2021,Crisis,409,true
2022,test_2022_2026,Bull,2440,true
2022,test_2022_2026,Bear,4247,true
2022,test_2022_2026,Sideways,1543,true
2022,test_2022_2026,Crisis,1559,true
2023,test_2022_2026,Bull,3874,true
2023,test_2022_2026,Bear,2581,true
2023,test_2022_2026,Sideways,2204,true
2023,test_2022_2026,Crisis,1091,true
2024,test_2022_2026,Bull,5262,true
2024,test_2022_2026,Bear,1846,true
2024,test_2022_2026,Sideways,2158,true
2024,test_2022_2026,Crisis,562,true
2025,test_2022_2026,Bull,4538,true
2025,test_2022_2026,Bear,2053,true
2025,test_2022_2026,Sideways,2134,true
2025,test_2022_2026,Crisis,1025,true
2026,test_2022_2026,Bull,429,true
2026,test_2022_2026,Bear,124,true
2026,test_2022_2026,Sideways,178,true
2026,test_2022_2026,Crisis,49,true
