request_file,verifier_file,verifier_field,candidate_request_fields,satisfied_now
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,label,positive_label|species,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,source_report,source_dataset,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,source_section,source_section,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,trade_date,trade_date|event_start,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,symbol,symbol,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,venue_or_market_center,venue_or_market_center,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,participant_type_code,participant_type_code,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,participant_identifier,participant_identifier,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,side,side,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,earliest_order_received_time,earliest_order_received_time|event_start,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,latest_order_received_time,latest_order_received_time|event_end,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,order_count,order_count,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,total_order_quantity,total_order_quantity,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,activity_description,activity_description,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,matched_negative_group_id,matched_negative_group_id|matched_control_group_id,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,session_bucket,session_bucket,False
direct_manipulation_positive_rows.csv,positive_spoofing_layering_rows.csv,source_row_id,source_row_id|event_id,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,label,normal_label,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,source_report,source_dataset,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,source_section,source_section,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,trade_date,trade_date|event_start,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,symbol,symbol,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,venue_or_market_center,venue_or_market_center,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,participant_type_code,participant_type_code,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,participant_identifier,participant_identifier,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,side,side,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,earliest_order_received_time,earliest_order_received_time|event_start,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,latest_order_received_time,latest_order_received_time|event_end,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,order_count,order_count,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,total_order_quantity,total_order_quantity,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,activity_description,activity_description|matching_dimensions,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,matched_negative_group_id,matched_negative_group_id|matched_control_group_id,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,session_bucket,session_bucket,False
direct_manipulation_matched_controls.csv,matched_negative_normal_activity_rows.csv,source_row_id,source_row_id|control_row_id,False
direct_manipulation_provenance.json,provenance_manifest.json,json_payload,copy_file,False
