root,path,classification,suffix
/tmp,/tmp/tickerstance_market_regime.headers,not_row_intake_candidate,.headers
/tmp,/tmp/main_regime_taxonomy_enrichment_jq.ok,not_row_intake_candidate,.ok
/tmp,/tmp/ict-regime-cogent-market-states.pdf,not_row_intake_candidate,.pdf
/tmp,/tmp/regime_consumer_unit_pivot_v1.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/hf_sujinwo_tsie-market-regime-dataset.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/pump_telegram.csv,data_file_needs_schema_owner_match,.csv
/tmp,/tmp/market_regime_context_packet_v1.json.tool.out,not_row_intake_candidate,.out
/tmp,/tmp/regime_consumer_unit_pivot_v1.final.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/mainregimev2_lock_after_false_v5_reopen.pretty.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/parent_regime_taxonomy_pivot_v3.json.tool,not_row_intake_candidate,.tool
/tmp,/tmp/gh_spoof_search.err,not_row_intake_candidate,.err
/tmp,/tmp/mainregimev2_accepted_packet_demotion.jq.out,not_row_intake_candidate,.out
/tmp,/tmp/evidence_packet_per_regime.final.valid,not_row_intake_candidate,.valid
/tmp,/tmp/kaggle_market_regime.err,not_row_intake_candidate,.err
/tmp,/tmp/zenodo_direct_manipulation_candidate_probe.pretty.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/nonkaggle_github_source_label_search.pretty.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/mainregimev2_source_window_attachability_v1.json.check,not_row_intake_candidate,.check
/tmp,/tmp/hf_AAdevloper_nifty50-market-regime.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/stock_market_regimes_parent_root_abstain.verify,not_row_intake_candidate,.verify
/tmp,/tmp/main_regime_v2_parent_child_crosswalk_020421.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/stock-market-regimes-20002026.zip,not_row_intake_candidate,.zip
/tmp,/tmp/stock_market_regimes_parent_root_abstain.json.valid,not_row_intake_candidate,.valid
/tmp,/tmp/ict-regime-r18-bundle.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/gh_pump_search.err,not_row_intake_candidate,.err
/tmp,/tmp/pumpolymp_live_api_direct_preflight.json.check,not_row_intake_candidate,.check
/tmp,/tmp/ict-manipulation-jsoncheck.out,not_row_intake_candidate,.out
/tmp,/tmp/kaggle_market_regime_search.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/mainregimev5_schema_crosswalk.pretty.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/market_regime_context_packet_v1.final.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/hf_dark_pool_synthetic_manipulation_audit.verify.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/main_vs_child_regime_correction.json.check,not_row_intake_candidate,.check
/tmp,/tmp/ict_mainregimev2_lock_json_check.out,not_row_intake_candidate,.out
/tmp,/tmp/evidence_packet_per_regime.valid,not_row_intake_candidate,.valid
/tmp,/tmp/main_regime_v2_parent_child_crosswalk_lock.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/nonkaggle_github_source_label_search.json.tool.out,not_row_intake_candidate,.out
/tmp,/tmp/arxiv_market_regime.xml,not_row_intake_candidate,.xml
/tmp,/tmp/ict-regime-verified-20260509T110030.factor-research-seeded.log,not_row_intake_candidate,.log
/tmp,/tmp/regime_classifier_daily_nq.feather,data_file_needs_schema_owner_match,.feather
/tmp,/tmp/kaggle_stock_regime_label_panel_audit.json.tool.out,not_row_intake_candidate,.out
/tmp,/tmp/tickerstance_market_regime.html,not_row_intake_candidate,.html
/tmp,/tmp/kaggle_stock_regime_label_panel_audit.json.check,not_row_intake_candidate,.check
/tmp,/tmp/main_regime_v6_jq.out,not_row_intake_candidate,.out
/tmp,/tmp/ict-mainregimev2-json-check.out,not_row_intake_candidate,.out
/tmp,/tmp/hf_market_regime_datasets.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/spoofing_layering_matched_row_readiness_v1.json.tool.out,not_row_intake_candidate,.out
/tmp,/tmp/per_regime_candidate_search_report.valid,not_row_intake_candidate,.valid
/tmp,/tmp/systemslab_pump_dump_json_check.out,not_row_intake_candidate,.out
/tmp,/tmp/kaggle_stock_regimes_files.out,not_row_intake_candidate,.out
/tmp,/tmp/ict-regime-r19-bundle.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/github_market_regime_repos.json,data_file_needs_schema_owner_match,.json
/tmp,/tmp/unified_source_label_panel_v1.json.check,not_row_intake_candidate,.check
/tmp,/tmp/local_download_stock_regime_panel_audit.json.pretty,not_row_intake_candidate,.pretty
/tmp,/tmp/spoofing_appendix_direct_case_inventory.json.check,not_row_intake_candidate,.check
/tmp,/tmp/ualberta_manipulation_source_audit.json.check,not_row_intake_candidate,.check
/tmp,/tmp/source_label_acquisition_package_v2.json.tool.out,not_row_intake_candidate,.out
/tmp,/tmp/arxiv_pump_dump.xml,not_row_intake_candidate,.xml
/tmp,/tmp/ict-manip-jsoncheck.out,not_row_intake_candidate,.out
/tmp,/tmp/regime_to_profit_direction_split_v1.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/pumpolymp-index.css,not_row_intake_candidate,.css
/tmp,/tmp/arxiv_lob_manipulation.xml,not_row_intake_candidate,.xml
/tmp,/tmp/ict-regime-verified-20260509T110030.auto-quant-bootstrap.log,not_row_intake_candidate,.log
/tmp,/tmp/mendeley_looksrare_manipulation_smoke_report.json.checked,not_row_intake_candidate,.checked
/tmp,/tmp/expanded_parent_regime_source_refresh.jq.out,not_row_intake_candidate,.out
/tmp,/tmp/kaggle_stock_market_regimes_20002026.zip,not_row_intake_candidate,.zip
/tmp,/tmp/unified_source_label_panel_124000.json.check,not_row_intake_candidate,.check
/tmp,/tmp/pumpolymp-index.js,script_or_document_not_source_rows,.js
/tmp,/tmp/parent_regime_taxonomy_pivot_v1.json.tool,not_row_intake_candidate,.tool
/tmp,/tmp/per_regime_candidate_search_report.final.valid,not_row_intake_candidate,.valid
