timestamp_ms,iso_ts,open,high,low,close,volume
1508472000000,2017-10-20T04:00:00+00:00,0.05,4.9,0.05,0.052458,3.628
1508475600000,2017-10-20T05:00:00+00:00,0.052456,0.052456,0.052105,0.052105,6.034
1508479200000,2017-10-20T06:00:00+00:00,0.052456,0.052456,0.0523,0.052456,2.82
1508482800000,2017-10-20T07:00:00+00:00,0.052456,0.052458,0.051898,0.051898,15.697
1508486400000,2017-10-20T08:00:00+00:00,0.051898,0.051898,0.051898,0.051898,3.839
1508490000000,2017-10-20T09:00:00+00:00,0.051898,0.0525,0.051898,0.0525,16.091
1508493600000,2017-10-20T10:00:00+00:00,0.051898,0.052,0.051898,0.052,2.989
1508497200000,2017-10-20T11:00:00+00:00,0.052,0.052,0.050909,0.051759,71.944
1508500800000,2017-10-20T12:00:00+00:00,0.050354,0.051763,0.050233,0.051762,76.112
1508504400000,2017-10-20T13:00:00+00:00,0.051762,0.051762,0.050718,0.051235,104.996
1508508000000,2017-10-20T14:00:00+00:00,0.051048,0.051743,0.049612,0.050048,317.616
1508511600000,2017-10-20T15:00:00+00:00,0.050048,0.050048,0.048658,0.04953,119.723
1508515200000,2017-10-20T16:00:00+00:00,0.04953,0.049983,0.048658,0.048809,27.362
1508518800000,2017-10-20T17:00:00+00:00,0.049252,0.049298,0.048659,0.048813,61.596
1508522400000,2017-10-20T18:00:00+00:00,0.048813,0.049454,0.048659,0.048659,100.066
1508526000000,2017-10-20T19:00:00+00:00,0.049361,0.049453,0.048658,0.048658,32.891
1508529600000,2017-10-20T20:00:00+00:00,0.048658,0.048763,0.048658,0.048659,178.092
1508533200000,2017-10-20T21:00:00+00:00,0.048772,0.049426,0.048658,0.048659,216.297
1508536800000,2017-10-20T22:00:00+00:00,0.048659,0.049177,0.04792,0.048645,54.826
1508540400000,2017-10-20T23:00:00+00:00,0.048563,0.048646,0.047881,0.048646,40.655
1508544000000,2017-10-21T00:00:00+00:00,0.048646,0.048647,0.048608,0.048646,6.585
1508547600000,2017-10-21T01:00:00+00:00,0.048646,0.048646,0.047961,0.048441,13.891
