feature,best_bin,source_provider,rows,wins,losses,win_rate,loss_rate,avg_pnl,wilson_win_lower_95,meets_min_rows,meets_95_gate,axis,chronological_bucket,branch_path
provider_rv_median_24h,high,binance_public,18,11,7,0.611111,0.388889,23.378305,0.386187,False,False,source_provider,,
provider_rv_median_24h,high,bybit_public,19,11,8,0.578947,0.421053,20.540177,0.362756,False,False,source_provider,,
provider_rv_median_24h,high,ibkr_paxos_long_midpoint,16,8,8,0.5,0.5,17.76084,0.279992,False,False,source_provider,,
provider_rv_median_24h,high,kraken_public,8,6,2,0.75,0.25,28.016205,0.40927,False,False,source_provider,,
provider_rv_median_24h,high,tvr_default_binance,10,7,3,0.7,0.3,26.570993,0.396773,False,False,source_provider,,
provider_rv_median_24h,high,yfinance,7,5,2,0.714286,0.285714,30.213704,0.358929,False,False,source_provider,,
provider_rv_median_24h,high,,44,24,20,0.545455,0.454545,21.367192,0.400659,True,False,chronological_bucket,early,
provider_rv_median_24h,high,,14,10,4,0.714286,0.285714,20.529906,0.453505,False,False,chronological_bucket,middle,
provider_rv_median_24h,high,,20,14,6,0.7,0.3,28.450334,0.481023,False,False,chronological_bucket,late,
provider_rv_median_24h,high,,57,38,19,0.666667,0.333333,24.965425,0.537223,True,False,branch_path,,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1
provider_rv_median_24h,high,,21,10,11,0.47619,0.52381,17.788217,0.283437,False,False,branch_path,,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1
provider_return_dispersion_24h,high,binance_public,17,8,9,0.470588,0.529412,6.663878,0.261648,False,False,source_provider,,
provider_return_dispersion_24h,high,bybit_public,18,8,10,0.444444,0.555556,3.727121,0.245592,False,False,source_provider,,
provider_return_dispersion_24h,high,ibkr_paxos_long_midpoint,15,7,8,0.466667,0.533333,9.643935,0.248092,False,False,source_provider,,
provider_return_dispersion_24h,high,kraken_public,7,3,4,0.428571,0.571429,-3.660145,0.158217,False,False,source_provider,,
provider_return_dispersion_24h,high,tvr_default_binance,9,3,6,0.333333,0.666667,-7.651968,0.120582,False,False,source_provider,,
provider_return_dispersion_24h,high,yfinance,10,7,3,0.7,0.3,23.633318,0.396773,False,False,source_provider,,
provider_return_dispersion_24h,high,,35,25,10,0.714286,0.285714,31.914485,0.549448,True,False,chronological_bucket,early,
provider_return_dispersion_24h,high,,16,0,16,0.0,1.0,-31.952748,0.0,False,False,chronological_bucket,middle,
provider_return_dispersion_24h,high,,25,11,14,0.44,0.56,-5.555415,0.266654,False,False,chronological_bucket,late,
provider_return_dispersion_24h,high,,57,31,26,0.54386,0.45614,12.078683,0.415905,True,False,branch_path,,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1
provider_return_dispersion_24h,high,,19,5,14,0.263158,0.736842,-11.663544,0.118062,False,False,branch_path,,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1
