scope,metric,key,value
before_cleanup,label_counts,Bear,109878
before_cleanup,label_counts,Bull,208745
before_cleanup,label_counts,Crisis,60255
before_cleanup,label_counts,Sideways,114567
before_cleanup,source_owner_counts,ahaanverma00,3435
before_cleanup,source_owner_counts,source-owned-stock-market-regimes-2000-2026,490010
before_cleanup,market_family_counts,india_equity_index,3435
before_cleanup,market_family_counts,us_index,52472
before_cleanup,market_family_counts,us_single_stock,437538
before_cleanup,split_counts,calibration,296660
before_cleanup,split_counts,heldout_market,52472
before_cleanup,split_counts,heldout_time,89449
before_cleanup,split_counts,test,54864
before_cleanup,summary,row_count,493445
before_cleanup,summary,symbol_count,40
before_cleanup,summary,date_min,2000-01-03
before_cleanup,summary,date_max,2026-03-20
after_cleanup,label_counts,Bear,54939
after_cleanup,label_counts,Bull,104979
after_cleanup,label_counts,Crisis,30623
after_cleanup,label_counts,Sideways,57899
after_cleanup,source_owner_counts,ahaanverma00,3435
after_cleanup,source_owner_counts,source-owned-stock-market-regimes-2000-2026,245005
after_cleanup,market_family_counts,india_equity_index,3435
after_cleanup,market_family_counts,us_index,26236
after_cleanup,market_family_counts,us_single_stock,218769
after_cleanup,split_counts,calibration,148976
after_cleanup,split_counts,heldout_market,26236
after_cleanup,split_counts,heldout_time,45384
after_cleanup,split_counts,test,27844
after_cleanup,summary,row_count,248440
after_cleanup,summary,symbol_count,40
after_cleanup,summary,date_min,2000-01-03
after_cleanup,summary,date_max,2026-03-20
