root,path,matched_terms,family,disposition,ready_source_input_candidate,size_bytes
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/15min_pda提取.py,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,13436
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,7786235
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4256273
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5832749
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1756672
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1440736
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/expansion_sop_report.15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,66464
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,7786235
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4256273
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5832749
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1756672
