split_family,split_name,positive_support,negative_support,current_min_wilson95_lcb,required_positive_support_for_95_if_all_correct,required_negative_support_for_95_if_all_correct,additional_positive_rows_needed_min,additional_negative_rows_needed_min,additional_pair_rows_needed_min
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,73,73,73,71,73
heldout_symbol_exact,COMEX copper futures,0,2,0.0,73,73,73,71,73
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,0.0,73,73,71,73,73
heldout_venue_exact,LME and COMEX,2,0,0.0,73,73,71,73,73
heldout_symbol_exact,"10-Year T-Note Futures contract, December 2011 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"10-Year T-Note Futures contract, March 2010 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,December 2017 Gold futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,December 2017 Silver futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,March-delivery Silver Futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,RBOB gasoline futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,0.206543291474,73,73,72,72,72
heldout_symbol_exact,"T-Bond Futures contract, September 2009 expiry",1,1,0.206543291474,73,73,72,72,72
