branch_path,provider,ote_level,profit_factor,package_id,material_path,unit_label,status,trade_count,win_rate_pct,sharpe,total_profit_pct,evidence_class,quality_weight,allowed_feedback_targets,pre_bayes_filter_allowed,bbn_learning_allowed,catboost_learning_allowed,execution_tree_branch_weight_update_allowed
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,IBKR,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-ibkr-1h-v1.material.json,OTE 0500 pullback continuation - IBKR SPY 1h,completed,10,50.0,0.2599,0.49,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,IBKR,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-ibkr-1h-v1.material.json,OTE 0618 pullback continuation - IBKR SPY 1h,completed,10,50.0,0.2599,0.49,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,IBKR,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-ibkr-1h-v1.material.json,OTE 0705 pullback continuation - IBKR SPY 1h,completed,10,50.0,0.2599,0.49,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,IBKR,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-ibkr-1h-v1.material.json,OTE 0786 pullback continuation - IBKR SPY 1h,completed,10,50.0,0.2599,0.49,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,yfinance/YF,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-yfinance-yf-1h-v1.material.json,OTE 0500 pullback continuation - yfinance/YF SPY 1h,completed,43,30.2326,-0.6579,-7.1,market_factor_negative_sample,0.25,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,yfinance/YF,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-yfinance-yf-1h-v1.material.json,OTE 0618 pullback continuation - yfinance/YF SPY 1h,completed,43,30.2326,-0.6579,-7.1,market_factor_negative_sample,0.25,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,yfinance/YF,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-yfinance-yf-1h-v1.material.json,OTE 0705 pullback continuation - yfinance/YF SPY 1h,completed,43,30.2326,-0.6579,-7.1,market_factor_negative_sample,0.25,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,yfinance/YF,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-yfinance-yf-1h-v1.material.json,OTE 0786 pullback continuation - yfinance/YF SPY 1h,completed,43,30.2326,-0.6579,-7.1,market_factor_negative_sample,0.25,branch_nursery_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Binance,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-binance-1h-v1.material.json,OTE 0500 pullback continuation - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Binance,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-binance-1h-v1.material.json,OTE 0618 pullback continuation - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
