row_id,variant_id,recipe_id,strategy_class,pair,freqtrade_adapter_pair,source_market_symbol,source_market_timeframe,open_date,close_date,open_session_date,source_regime_session_date,source_context_attachment_policy,parent_regime_root,parent_regime_confidence_floor,source_panel_mean_confidence,source_panel_ticker_count,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,year_fold,profit_ratio_net,profit_abs,stake_amount,fee_open,fee_close,exit_reason,is_open
1,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2011-11-26T00:00:00+00:00,2011-12-02T00:00:00+00:00,2011-11-26,2011-11-25,source_panel_previous_session_context_asof,Bear,0.963920242,0.50525,28,not_consumed_no_direct_event_rows,BearMarketDrawdown,RootGatedCapitulationMeanReversion,root_aware_capitulation_rebound,NQRootAwareB2UV1,Bear -> BearMarketDrawdown -> RootGatedCapitulationMeanReversion -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_cost_or_tail_risk_fails,2011,0.07300987469616713,723.51951984,9899.985805,0.001,0.001,exit_signal,False
2,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-01-13T00:00:00+00:00,2012-01-21T00:00:00+00:00,2012-01-13,2012-01-13,source_panel_previous_session_context_asof,Bull,0.9797225384,0.5950384615384615,26,not_consumed_no_direct_event_rows,TrendExpansion,RootGatedDonchianMomentum,root_aware_momentum_breakout,NQRootAwareB2UV1,Bull -> TrendExpansion -> RootGatedDonchianMomentum -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_root_branch_rc_spa_fails,2012,0.021226076652351246,225.56720368,10616.27476,0.001,0.001,exit_signal,False
3,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-02-24T00:00:00+00:00,2012-03-07T00:00:00+00:00,2012-02-24,2012-02-24,source_panel_previous_session_context_asof,Bull,0.9797225384,0.5798518518518518,27,not_consumed_no_direct_event_rows,TrendExpansion,RootGatedDonchianMomentum,root_aware_momentum_breakout,NQRootAwareB2UV1,Bull -> TrendExpansion -> RootGatedDonchianMomentum -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_root_branch_rc_spa_fails,2012,-0.005951821876526574,-64.57985009,10839.594345,0.001,0.001,exit_signal,False
4,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-03-14T00:00:00+00:00,2012-03-17T00:00:00+00:00,2012-03-14,2012-03-14,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6313703703703704,27,not_consumed_no_direct_event_rows,TrendExpansion,RootGatedDonchianMomentum,root_aware_momentum_breakout,NQRootAwareB2UV1,Bull -> TrendExpansion -> RootGatedDonchianMomentum -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_root_branch_rc_spa_fails,2012,0.005102555186809072,55.0383548,10775.654435,0.001,0.001,exit_signal,False
5,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-04-17T00:00:00+00:00,2012-04-26T00:00:00+00:00,2012-04-17,2012-04-17,source_panel_previous_session_context_asof,Sideways,0.9529358324,0.6602857142857143,21,not_consumed_no_direct_event_rows,RangeConsolidation,RootGatedRangeMeanReversion,root_aware_range_reversion,NQRootAwareB2UV1,Sideways -> RangeConsolidation -> RootGatedRangeMeanReversion -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_fold_depth_or_specificity_fails,2012,0.013582500383752848,147.24739363,10830.1335675,0.001,0.001,exit_signal,False
6,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-05-05T00:00:00+00:00,2012-05-17T00:00:00+00:00,2012-05-05,2012-05-04,source_panel_previous_session_context_asof,Sideways,0.9529358324,0.7678571428571429,14,not_consumed_no_direct_event_rows,RangeConsolidation,RootGatedRangeMeanReversion,root_aware_range_reversion,NQRootAwareB2UV1,Sideways -> RangeConsolidation -> RootGatedRangeMeanReversion -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_fold_depth_or_specificity_fails,2012,-0.026232046099368224,-288.20880221,10975.9215975,0.001,0.001,rootaware_time_exit,False
7,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-05-18T00:00:00+00:00,2012-05-30T00:00:00+00:00,2012-05-18,2012-05-18,source_panel_previous_session_context_asof,Bear,0.963920242,0.5224545454545454,22,not_consumed_no_direct_event_rows,BearMarketDrawdown,RootGatedCapitulationMeanReversion,root_aware_capitulation_rebound,NQRootAwareB2UV1,Bear -> BearMarketDrawdown -> RootGatedCapitulationMeanReversion -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_cost_or_tail_risk_fails,2012,0.015031039421283324,160.85148912,10690.59789,0.001,0.001,exit_signal,False
8,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-06-04T00:00:00+00:00,2012-06-07T00:00:00+00:00,2012-06-04,2012-06-04,source_panel_previous_session_context_asof,Bear,0.963920242,0.49465000000000003,20,not_consumed_no_direct_event_rows,BearMarketDrawdown,RootGatedCapitulationMeanReversion,root_aware_capitulation_rebound,NQRootAwareB2UV1,Bear -> BearMarketDrawdown -> RootGatedCapitulationMeanReversion -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_cost_or_tail_risk_fails,2012,0.04646073462744168,504.59534774,10849.8339625,0.001,0.001,exit_signal,False
9,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-06-20T00:00:00+00:00,2012-06-22T00:00:00+00:00,2012-06-20,2012-06-20,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6207272727272728,22,not_consumed_no_direct_event_rows,TrendExpansion,RootGatedDonchianMomentum,root_aware_momentum_breakout,NQRootAwareB2UV1,Bull -> TrendExpansion -> RootGatedDonchianMomentum -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_root_branch_rc_spa_fails,2012,-0.024578979326170237,-279.23533837,11349.388365,0.001,0.001,exit_signal,False
10,baseline,NQRootAwareB2UV1,NQRootAwareB2UV1,BTC/USDT,BTC/USDT,NQ_USD,1d,2012-08-17T00:00:00+00:00,2012-08-19T00:00:00+00:00,2012-08-17,2012-08-17,source_panel_previous_session_context_asof,Bull,0.9797225384,0.5945,26,not_consumed_no_direct_event_rows,TrendExpansion,RootGatedDonchianMomentum,root_aware_momentum_breakout,NQRootAwareB2UV1,Bull -> TrendExpansion -> RootGatedDonchianMomentum -> NQRootAwareB2UV1,board-b-nq-rootaware-b2u-rc-spa/v1,1h_trade,research_only_until_all_required_roots_pass,suppress_if_root_branch_rc_spa_fails,2012,0.0010083025149151851,11.17602861,11072.930575,0.001,0.001,exit_signal,False
