requirement,status,evidence
every_regime_95_confidence,blocked,no valid R3/R5/R6 source-control unlock exists
cross_market_period_timeframe_validation,blocked,required source-control roots absent or non-promoting
r6_owner_export_controls,blocked,/tmp/ict-engine-board-a-r6-owner-export-v1 absent
r5_post_2026_01_30_recency,blocked,/tmp/ict-engine-source-panel-recency-extension absent
r3_crisis_capable_native_subhour,blocked,TSIE root present but Crisis absent and non-promoting
provider_readback,partial_non_promoting,provider-status --agent summary entry_model 2/2 live_runtime 1/3 local_runtime 1/2 market_data 1/7
auto_quant_readback,partial_non_promoting,board runtime dependency_ready_data_ready healthy true data_ready true but selected-data promotion blocked
pre_bayes_workflow_path_ranking,partial_non_promoting,pre_bayes observe_only workflow fail_closed path ranking mature_rows 0 calibrated_rows 0
multi_agent_append_only,pass,new run root only; board registration required append-only
downstream_gates_off,pass,no verifier calibration merge selected-data promotion downstream promotion trade claim or update_goal
