feature,importance_mean
volatility,0.1476666667
close,0.1455
vix,0.1188333333
cpi,0.1158333333
unemployment_rate,0.0518333333
fed_funds_rate,0.0401666667
2y_treasury,0.0291666667
returns,0.028
10y_treasury,0.0218333333
symbol_GE,0.0138333333
symbol_JNJ,0.0126666667
symbol_XOM,0.01
symbol_NFLX,0.009
symbol_MS,0.0075
symbol_AMZN,0.007
symbol_AAPL,0.0066666667
symbol_AMD,0.0066666667
symbol_GS,0.0066666667
symbol_CAT,0.0058333333
symbol_MSFT,0.0058333333
symbol_SBUX,0.0055
symbol_WMT,0.0055
symbol_NVDA,0.0051666667
symbol_PFE,0.005
symbol_CSCO,0.0041666667
symbol_BAC,0.004
symbol_MCD,0.0038333333
symbol_INTC,0.0036666667
symbol_T,0.0036666667
symbol_NKE,0.0036666667
symbol_DIS,0.0035
symbol_VZ,0.0033333333
symbol_TMO,0.003
symbol_GOOGL,0.0028333333
symbol_TSLA,0.0028333333
symbol_WFC,0.0026666667
symbol_CVX,0.0025
symbol_JPM,0.0016666667
symbol_UNH,0.0016666667
symbol_BA,0.0013333333
