provider,query,status,error,raw_file
figshare,MainRegimeV2,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_mainregimev2.json
osf_preprints,MainRegimeV2,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_mainregimev2.json
figshare,stock_market_regimes_2026_extension,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_stock_market_regimes_2026_extension.json
osf_preprints,stock_market_regimes_2026_extension,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_stock_market_regimes_2026_extension.json
figshare,stock market regimes 2026 extension,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_stock_market_regimes_2026_extension.json
osf_preprints,stock market regimes 2026 extension,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_stock_market_regimes_2026_extension.json
figshare,native subhour source label rows,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_native_subhour_source_label_rows.json
osf_preprints,native subhour source label rows,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_native_subhour_source_label_rows.json
figshare,market regime crisis labels,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_market_regime_crisis_labels.json
osf_preprints,market regime crisis labels,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_market_regime_crisis_labels.json
figshare,Oystacher spoofing futures order book,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_oystacher_spoofing_futures_order_book.json
osf_preprints,Oystacher spoofing futures order book,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_oystacher_spoofing_futures_order_book.json
figshare,3 Red Trading matched controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_3_red_trading_matched_controls.json
osf_preprints,3 Red Trading matched controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_3_red_trading_matched_controls.json
figshare,futures order lifecycle spoofing controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_futures_order_lifecycle_spoofing_controls.json
osf_preprints,futures order lifecycle spoofing controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_futures_order_lifecycle_spoofing_controls.json
figshare,direct manipulation matched controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_direct_manipulation_matched_controls.json
osf_preprints,direct manipulation matched controls,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_direct_manipulation_matched_controls.json
figshare,CFE VIX futures trades quotes,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/figshare_cfe_vix_futures_trades_quotes.json
osf_preprints,CFE VIX futures trades quotes,200,,docs/experiments/actionable-regime-confidence/runs/20260512T075932+0800-codex-figshare-osf-source-route-probe-after-075818-v1/command-output/osf_preprints_cfe_vix_futures_trades_quotes.json
