candidate,candidate_role,source_license,path,exists,sha256,exact_required_columns,row_count,post_2026_01_30_rows,date_min,date_max,ticker_count,label_counts,unknown_tickers,bad_labels,duplicates,accepted_for_r5_intake,reject_reason
mafaqbhatti/stock-market-regimes-20002026,current_source_panel,apache-2.0,/Users/thrill3r/Downloads/stock-market-regimes-20002026/stock_market_regimes_2000_2026.csv,True,2c8a3d8bc3c834f89eb776cf69930c041f1059a895e115b623d4427f67193cd0,True,245021,0,2000-01-03,2026-01-30,39,"{'Bear': 54939, 'Bull': 103766, 'Crisis': 29632, 'High-volatility': 16, 'Sideways': 56668}",[],['High-volatility'],0,False,no_post_2026_01_30_rows;non_root_or_missing_labels
ahaanverma00/nifty-500-market-and-behavior-regime-dataset,other_market_post_cutoff_label_source_not_r5_panel,unknown_from_local_profile,/tmp/ict-engine-public-source-intake-scout/nifty/regime_timeline_history.csv,True,4bfb78601e36557e177701bf8ee6a0c9b8e243206e0f9eafe8ee6c7115f0b732,False,3464,34,2012-02-02,2026-03-20,0,"{'Calm': 1231, 'Choppy': 1242, 'Stress': 991}",[],"['Calm', 'Choppy', 'Stress']",0,False,schema_mismatch;non_root_or_missing_labels;not_existing_39_ticker_source_panel
kanchana1990/algorithmic-trading-macro-stress-and-asset-regimes,macro_stress_recent_rows_no_root_labels,CC-BY-NC-SA-4.0,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/kanchana_macro_stress_asset_regimes/Global_Market_Stress_and_Liquidity_Regimes.csv,True,3d649ccdc33da4c037f72fb45098c925c760fb4faa8b2dc3a4482a1760636fb1,False,4150,26,2014-10-17,2026-02-25,0,{},[],[],0,False,schema_mismatch
kanchana1990/tech-giants-and-global-macroeconomic-indicators,recent_macro_price_rows_no_root_labels,CC0-1.0,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/kanchana_tech_giants_macro/magnificent_7_macro_nexus_supercharged.csv,True,9a9b9224669939d761a08216ad8d5cc673db7419b4eb24c90accddef599a9bb7,False,2762,26,2015-03-17,2026-03-10,0,{},[],[],0,False,schema_mismatch
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/AAL_1d_2009-01-01_dataset.csv,True,a323b236b87d83d0c05550c01e47d394d023351bdb8502193b9dffbb0f25558e,False,4349,53,2009-01-02,2026-04-17,1,{},['AAL'],[],0,False,schema_mismatch;unknown_tickers_for_r5_verifier
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/ANF_1d_2009-01-01_dataset.csv,True,b4eda967f21138a5181688ae5969703059d05012c806d7b3479faacda0dd69ba,False,4349,53,2009-01-02,2026-04-17,1,{},['ANF'],[],0,False,schema_mismatch;unknown_tickers_for_r5_verifier
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/AWK_1d_2009-01-01_dataset.csv,True,d06cd76a0a693568abee442875ffc376e0461b6ff7ffff17466191593737cc1d,False,4349,53,2009-01-02,2026-04-17,1,{},['AWK'],[],0,False,schema_mismatch;unknown_tickers_for_r5_verifier
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/CVX_1d_2009-01-01_dataset.csv,True,24126f615c441dfcd1348b5c52b09ab3ecfb1922353ada61fe91f0053b00ca9f,False,4349,53,2009-01-02,2026-04-17,1,{},[],[],0,False,schema_mismatch
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/C_1d_2009-01-01_dataset.csv,True,5055cc0d2b3f6f92da9fd50cac30c1eef9b3763a733d905af625775470a0dd59,False,4349,53,2009-01-02,2026-04-17,1,{},['C'],[],0,False,schema_mismatch;unknown_tickers_for_r5_verifier
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,recent_stock_price_indicator_rows_no_root_labels,MIT,/tmp/ict-engine-r5-source-panel-recency-extension-acquisition-screen-v1/franek_us_stocks_various_sectors/GD_1d_2009-01-01_dataset.csv,True,5e7bbab15d729a2b5beee0a392de495f6b166a8c2c103471a3349c62aea2ee9a,False,4349,53,2009-01-02,2026-04-17,1,{},['GD'],[],0,False,schema_mismatch;unknown_tickers_for_r5_verifier
