split_family,split_name,positive_support,negative_support,positive_wilson95_lcb,negative_wilson95_lcb,min_wilson95_lcb,support_ok,wilson_ok,pass,blocker
pooled_all_source_rows,all_rows,57,57,0.936858991217,0.936858991217,0.936858991217,True,False,False,wilson95_below_0.95
chronological_group_split,chronological_train,29,29,0.883026405534,0.883026405534,0.883026405534,False,False,False,support_below_50;wilson95_below_0.95
chronological_group_split,chronological_calibration,14,14,0.784682988073,0.784682988073,0.784682988073,False,False,False,support_below_50;wilson95_below_0.95
chronological_group_split,chronological_test,14,14,0.784682988073,0.784682988073,0.784682988073,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,April 2017 Gold futures,2,2,0.34237195289,0.34237195289,0.34237195289,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,August-delivery Gold Futures,3,3,0.438493919551,0.438493919551,0.438493919551,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,0.34237195289,0.0,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,CBOT soybean futures,4,2,0.510099979596,0.34237195289,0.34237195289,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,CLM0-CLU0 crude oil June-September 2020 calendar spread,1,1,0.206543291474,0.206543291474,0.206543291474,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,CLM0-CLZ0 crude oil June-December 2020 calendar spread,1,1,0.206543291474,0.206543291474,0.206543291474,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,COMEX Gold Futures,6,6,0.609656966347,0.609656966347,0.609656966347,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,0.206543291474,0.206543291474,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,0.206543291474,0.206543291474,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,COMEX copper futures,0,2,0.0,0.34237195289,0.0,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,December 2013 E-mini Dow futures,2,2,0.34237195289,0.34237195289,0.34237195289,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,December 2013 E-mini NASDAQ futures,5,5,0.565508505248,0.565508505248,0.565508505248,False,False,False,support_below_50;wilson95_below_0.95
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,0.206543291474,0.206543291474,False,False,False,support_below_50;wilson95_below_0.95
