regime_id,rule,train_score,train_support,train_wilson95,cal_support,test_support,test_wilson95,test_ece,test_coverage,test_instruments,test_market_contexts,passes_95,blocker
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.25,0.7608338459993985,2218,0.7055580770492501,1190,1081,0.82567228190653,0.002910470386119246,0.3586595885865959,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.25,0.8608963273221916,1630,0.8276783641850763,874,795,0.9365088295507054,0.040415641235985844,0.26376907763769075,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.25,0.8011385043046063,2218,0.7548661616305661,1190,1093,0.7256054894257639,0.04458010102485632,0.3597761685319289,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.25,0.9593083899140099,1630,0.948810408027902,874,802,0.9514610628727018,0.010956590217819362,0.26398946675444374,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,True,none
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.35,0.7608338459993985,2218,0.7055580770492501,1190,1081,0.82567228190653,0.002910470386119246,0.3586595885865959,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.35,0.8608963273221916,1630,0.8276783641850763,874,795,0.9365088295507054,0.040415641235985844,0.26376907763769075,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.35,0.8011385043046063,2218,0.7548661616305661,1190,1093,0.7256054894257639,0.04458010102485632,0.3597761685319289,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.35,0.9593083899140099,1630,0.948810408027902,874,802,0.9514610628727018,0.010956590217819362,0.26398946675444374,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,True,none
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.45,0.761078923152348,2185,0.7058368402012949,1129,1035,0.825169456473595,0.004658048891113875,0.3433974784339748,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.45,0.8618941774238328,1617,0.8288920265874525,848,777,0.9350535467573461,0.03374887690925421,0.25779694757796945,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.45,0.802384518310514,2185,0.7563714759780799,1129,1047,0.7334861972530888,0.0484128172525492,0.3446346280447663,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.45,0.9595378408523487,1617,0.9490879836189132,848,784,0.9503570743429616,0.0044763188294184575,0.25806451612903225,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,True,none
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.55,0.7665646785869474,1991,0.7124131987275686,1045,960,0.8238170695511495,0.0056718500797448,0.31851360318513605,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_stable_high_liquidity_hour AND volume_rank_252 >= 0.55,0.8631842659069722,1494,0.8303665072337124,792,726,0.9432214246526173,0.038337924701561055,0.24087591240875914,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
SessionLiquidityCoreViable,context_train_high_liquidity_hour AND volume_rank_252 >= 0.55,0.8102959441835698,1991,0.7659318539639,1045,972,0.7452414875340407,0.038849508732549665,0.31994733377221857,NQ|PF_XBTUSD|QQQ,CME_futures_local|IBKR_US_ETF|Kraken_crypto|yfinance_US_ETF,False,wilson95_below_0_95
