ts,qqq_ibkr_1h_open,qqq_ibkr_1h_high,qqq_ibkr_1h_low,qqq_ibkr_1h_close,qqq_ibkr_1h_volume,qqq_ibkr_1h_wap,qqq_ibkr_1h_count,qqq_yf_1h_open,qqq_yf_1h_high,qqq_yf_1h_low,qqq_yf_1h_close,qqq_yf_1h_volume,hour_utc,weekday,qqq_yfinance_current_bar_present,session_core_utc_13_18,future_median_ibkr_count_h4,future_median_ibkr_volume_h4,target_session_liquidity_viable_h4
2025-05-09 08:00:00+00:00,489.42,489.58,488.54,488.92,40730.0,489.184,270,,,,,,8,4,0,0,828.0,195812.5,1
2025-05-09 09:00:00+00:00,488.95,489.57,488.95,489.57,22918.0,489.25,143,,,,,,9,4,0,0,1503.5,345198.5,1
2025-05-09 10:00:00+00:00,489.6,490.47,489.6,490.22,57666.0,490.228,275,,,,,,10,4,0,0,6320.5,1308544.0,1
2025-05-09 11:00:00+00:00,490.27,492.0,488.28,489.8,333959.0,489.775,1626,,,,,,11,4,0,0,11583.5,2319228.5,1
2025-05-09 12:00:00+00:00,490.22,490.85,487.92,490.36,356438.0,489.889,1381,,,,,,12,4,0,0,11583.5,2319228.5,1
2025-05-09 13:00:00+00:00,490.33,491.54,489.72,490.91,2260650.0,490.634,11015,490.2799987792969,491.5400085449219,487.5101013183594,488.0000915527344,6310013.0,13,4,1,1,10559.5,2070827.5,1
2025-05-09 14:00:00+00:00,490.86,491.4,486.19,488.2,4183538.0,488.418,18465,490.2799987792969,491.5400085449219,487.5101013183594,488.0000915527344,6310013.0,14,4,1,1,8500.0,1743774.5,1
2025-05-09 15:00:00+00:00,488.2,489.0,487.19,488.82,2377807.0,488.251,12152,488.0400085449219,489.0,486.2099914550781,487.989990234375,5260414.0,15,4,1,1,8500.0,1743774.5,1
2025-05-09 16:00:00+00:00,488.91,488.96,486.54,486.91,1763848.0,487.382,8033,488.0,488.9599914550781,486.6300048828125,487.1899108886719,3043960.0,16,4,1,1,7380.0,1488136.5,1
2025-05-09 17:00:00+00:00,486.87,488.65,486.26,488.51,1723701.0,487.479,8967,487.2000122070313,487.9649963378906,486.2699890136719,487.2799987792969,3117308.0,17,4,1,1,3930.0,1040959.5,1
2025-05-09 18:00:00+00:00,488.48,488.6,487.43,488.15,1252572.0,488.053,5793,487.2900085449219,488.6499938964844,486.8999938964844,487.7200012207031,2738102.0,18,4,1,1,1108.0,434543.0,1
2025-05-09 19:00:00+00:00,488.16,489.21,487.83,488.05,3303245.0,488.42,15550,487.7279968261719,489.2099914550781,487.6600036621094,488.534912109375,2475164.0,19,4,1,0,139.0,38685.5,0
2025-05-09 20:00:00+00:00,488.07,488.35,487.69,488.23,829347.0,487.99,2067,488.5499877929687,488.8298950195313,487.8299865722656,488.05999755859375,2904602.0,20,4,1,0,139.0,38685.5,0
2025-05-09 21:00:00+00:00,488.16,488.25,487.85,487.97,39739.0,488.051,149,,,,,,21,4,0,0,512.0,98527.0,0
2025-05-09 22:00:00+00:00,487.9,488.39,487.9,488.06,25756.0,488.185,98,,,,,,22,4,0,0,1262.5,242956.5,1
2025-05-09 23:00:00+00:00,488.04,488.09,487.66,487.92,37632.0,487.91,129,,,,,,23,4,0,0,1758.0,337779.5,1
2025-05-12 08:00:00+00:00,497.33,506.5,496.33,506.0,349068.0,504.939,1886,,,,,,8,0,0,0,2217.5,428993.5,1
2025-05-12 09:00:00+00:00,506.05,506.92,505.97,506.76,159422.0,506.562,895,,,,,,9,0,0,0,2829.0,675435.0,1
2025-05-12 10:00:00+00:00,506.74,508.55,506.23,508.4,326491.0,507.424,1630,,,,,,10,0,0,0,13916.5,2846357.0,1
2025-05-12 11:00:00+00:00,508.28,508.85,506.14,506.91,531496.0,507.464,2805,,,,,,11,0,0,0,18819.5,3592448.5,1
2025-05-12 12:00:00+00:00,507.66,508.67,487.6,506.95,819374.0,506.322,2853,,,,,,12,0,0,0,18819.5,3658754.5,1
2025-05-12 13:00:00+00:00,506.92,507.48,502.78,503.8,5812827.0,504.754,31263,506.989990234375,507.05999755859375,502.2799987792969,502.69000244140625,14540412.0,13,0,1,1,12544.0,2519751.5,1
2025-05-12 14:00:00+00:00,503.83,505.32,501.48,503.41,4873340.0,503.728,24980,506.989990234375,507.05999755859375,502.2799987792969,502.69000244140625,14540412.0,14,0,1,1,12126.5,2377863.0,1
2025-05-12 15:00:00+00:00,503.45,504.28,503.03,503.31,2311557.0,503.698,12659,502.739990234375,504.4580078125,501.5,503.7741088867187,4947867.0,15,0,1,1,12126.5,2519751.5,1
2025-05-12 16:00:00+00:00,503.33,506.17,503.13,506.01,2444169.0,504.907,11824,503.7799987792969,505.0628967285156,503.1300048828125,504.6700134277344,4492036.0,16,0,1,1,11462.0,2624386.0,1
2025-05-12 17:00:00+00:00,506.06,507.38,505.89,506.76,2595334.0,506.701,12429,504.7298889160156,507.3700866699219,504.6000061035156,506.5499877929687,4115328.0,17,0,1,1,6740.0,2446450.5,1
