instrument,root,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,support_gap_to_73,lcb_gap_to_095,one_split_passes,blocker
HD,Bull,162,0.9768365592,69,0.9472627418,4,0.002737258200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Sideways,100,0.9630065018,68,0.9465286635,5,0.003471336500,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bull,118,0.968471661,67,0.9457738606,6,0.004226139400,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Sideways,75,0.9512761575,67,0.9457738606,6,0.004226139400,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bear,66,0.944997443,151,0.9751910189,7,0.005002557000,True,calibration_support_below_73|calibration_wilson95_below_0_95
^DJI,Sideways,66,0.944997443,87,0.9577124931,7,0.005002557000,True,calibration_support_below_73|calibration_wilson95_below_0_95
AMD,Bear,63,0.9425288004,76,0.9518864149,10,0.007471199600,True,calibration_support_below_73|calibration_wilson95_below_0_95
AMD,Bull,76,0.9518864149,62,0.9416559279,11,0.008344072100,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Sideways,62,0.9416559279,80,0.9541818705,11,0.008344072100,True,calibration_support_below_73|calibration_wilson95_below_0_95
JNJ,Sideways,99,0.9626467879,61,0.9407561321,12,0.009243867900,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bear,59,0.9388706295,98,0.9622800099,14,0.011129370500,True,calibration_support_below_73|calibration_wilson95_below_0_95
DIS,Bull,88,0.9581729333,55,0.9347150989,18,0.015284901100,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Bear,89,0.9586234548,53,0.9324180114,20,0.017581988600,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bull,93,0.9603324974,51,0.9299533801,22,0.020046619900,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AAPL,Bear,50,0.9286524009,81,0.9547219146,23,0.021347599100,True,calibration_support_below_73|calibration_wilson95_below_0_95
BA,Crisis,49,0.9273021808,92,0.9599186107,24,0.022697819200,True,calibration_support_below_73|calibration_wilson95_below_0_95
TMO,Sideways,75,0.9512761575,43,0.9179901968,30,0.032009803200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WMT,Sideways,43,0.9179901968,75,0.9512761575,30,0.032009803200,True,calibration_support_below_73|calibration_wilson95_below_0_95
TSLA,Bull,42,0.9162012091,76,0.9518864149,31,0.033798790900,True,calibration_support_below_73|calibration_wilson95_below_0_95
BA,Bear,138,0.9729172355,40,0.9123783988,33,0.037621601200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Bear,37,0.9059421742,81,0.9547219146,36,0.044057825800,True,calibration_support_below_73|calibration_wilson95_below_0_95
JNJ,Bear,73,0.950007992,34,0.8984854458,39,0.051514554200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Bear,28,0.8793566952,101,0.9633593536,45,0.070643304800,True,calibration_support_below_73|calibration_wilson95_below_0_95
BA,Bull,20,0.8388748419,74,0.9506502206,53,0.111125158100,True,calibration_support_below_73|calibration_wilson95_below_0_95
CSCO,Bear,92,0.9599186107,17,0.815681865,56,0.134318135000,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Sideways,91,0.9594959961,14,0.7846891973,59,0.165310802700,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Sideways,59,0.9388706295,66,0.944997443,14,0.011129370500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Sideways,62,0.9416559279,56,0.9358060633,17,0.014193936700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
DIS,Bear,69,0.9472627418,54,0.9335864119,19,0.016413588100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Sideways,51,0.9299533801,51,0.9299533801,22,0.020046619900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Sideways,55,0.9347150989,50,0.9286524009,23,0.021347599100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Sideways,60,0.9398281479,50,0.9286524009,23,0.021347599100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Bull,58,0.9378821442,49,0.9273021808,24,0.022697819200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
PFE,Bull,48,0.9258998703,48,0.9258998703,25,0.024100129700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
