label,qualifying_condition,source_owner,market_family,symbol,timeframe,timestamp_or_date,split_role,source_row_id,main_regime_v2_label
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-10-17,calibration,stock_market_regimes_2000_2026:6803:AMD:2000-10-17:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-10-17,calibration,stock_market_regimes_2000_2026:6804:AMZN:2000-10-17:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-11-20,calibration,stock_market_regimes_2000_2026:7620:AMZN:2000-11-20:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_index,^IXIC,1d,2000-11-20,heldout_market,stock_market_regimes_2000_2026:7650:^IXIC:2000-11-20:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-11-21,calibration,stock_market_regimes_2000_2026:7654:AMZN:2000-11-21:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-11-27,calibration,stock_market_regimes_2000_2026:7755:AMD:2000-11-27:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-11-28,calibration,stock_market_regimes_2000_2026:7789:AMD:2000-11-28:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-11-28,calibration,stock_market_regimes_2000_2026:7790:AMZN:2000-11-28:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_index,^IXIC,1d,2000-11-28,heldout_market,stock_market_regimes_2000_2026:7820:^IXIC:2000-11-28:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AAPL,1d,2000-11-30,calibration,stock_market_regimes_2000_2026:7856:AAPL:2000-11-30:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-11-30,calibration,stock_market_regimes_2000_2026:7857:AMD:2000-11-30:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,MSFT,1d,2000-11-30,calibration,stock_market_regimes_2000_2026:7874:MSFT:2000-11-30:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_index,^IXIC,1d,2000-11-30,heldout_market,stock_market_regimes_2000_2026:7888:^IXIC:2000-11-30:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-12-01,calibration,stock_market_regimes_2000_2026:7891:AMD:2000-12-01:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-12-04,calibration,stock_market_regimes_2000_2026:7925:AMD:2000-12-04:Bear,Bear
Bear,hgb_numeric_probability(Bear) >= 0.98,source-owned-stock-market-regimes-2000-2026,us_single_stock,AAPL,1d,2000-12-06,calibration,stock_market_regimes_2000_2026:7992:AAPL:2000-12-06:Bear,Bear
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,AAPL,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:2:AAPL:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMD,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:3:AMD:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:4:AMZN:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,BA,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:5:BA:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,BAC,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:6:BAC:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,CAT,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:7:CAT:2000-01-03:Bull,Bull
